#SampleID,Niche,Genotype,MS,RS,Symbiosis,MASS (mg),16S spike (pg),16S spike copes (g-1),16S spike reads
CK_1,Soil,Soil,Soil,Soil,Soil,103.7,500,1036644166,6720
CK_2,Soil,Soil,Soil,Soil,Soil,107.6,500,999070632,15478
CK_3,Soil,Soil,Soil,Soil,Soil,104.3,500,1030680729,7960
CK_4,Soil,Soil,Soil,Soil,Soil,100,500,1075000000,9087
CK_5,Soil,Soil,Soil,Soil,Soil,100.9,500,1065411298,1918
R_A17_1,Root,A17,M+,R+,M+R+,52.1,500,2063339731,8640
R_A17_2,Root,A17,M+,R+,M+R+,52,500,2067307692,9595
R_A17_3,Root,A17,M+,R+,M+R+,53.4,500,2013108614,6033
R_A17_4,Root,A17,M+,R+,M+R+,56,500,1919642857,11887
R_A17_5,Root,A17,M+,R+,M+R+,51.9,500,2071290944,8702
R_dmi2_1,Root,dmi2,M-,R-,M-R-,51.6,500,2083333333,2908
R_dmi2_2,Root,dmi2,M-,R-,M-R-,51.2,500,2099609375,8529
R_dmi2_3,Root,dmi2,M-,R-,M-R-,51.2,500,2099609375,13527
R_dmi2_4,Root,dmi2,M-,R-,M-R-,52.3,500,2055449331,12965
R_dmi2_5,Root,dmi2,M-,R-,M-R-,52.1,500,2063339731,9564
R_dmi3_1,Root,dmi3,M-,R-,M-R-,53.6,500,2005597015,3360
R_dmi3_2,Root,dmi3,M-,R-,M-R-,51.4,500,2091439689,2523
R_dmi3_3,Root,dmi3,M-,R-,M-R-,52.1,500,2063339731,2352
R_dmi3_4,Root,dmi3,M-,R-,M-R-,51.9,500,2071290944,5340
R_dmi3_5,Root,dmi3,M-,R-,M-R-,53.5,500,2009345794,4794
R_ipd3_1,Root,ipd3,M+,R-,M+R-,53.9,500,1994434137,8058
R_ipd3_2,Root,ipd3,M+,R-,M+R-,54.1,500,1987060998,9769
R_ipd3_3,Root,ipd3,M+,R-,M+R-,54.1,500,1987060998,7936
R_ipd3_4,Root,ipd3,M+,R-,M+R-,56.2,500,1912811388,16201
R_ipd3_5,Root,ipd3,M+,R-,M+R-,54.4,500,1976102941,7867
R_lyk3_1,Root,lyk3,M+,R-,M+R-,55.1,500,1950998185,9302
R_lyk3_2,Root,lyk3,M+,R-,M+R-,51.2,500,2099609375,13091
R_lyk3_3,Root,lyk3,M+,R-,M+R-,58.5,500,1837606838,7002
R_lyk3_4,Root,lyk3,M+,R-,M+R-,53.5,500,2009345794,7291
R_lyk3_5,Root,lyk3,M+,R-,M+R-,51.8,500,2075289575,4964
R_nfp_1,Root,nfp,M+,R-,M+R-,56.6,500,1899293286,10097
R_nfp_2,Root,nfp,M+,R-,M+R-,51.4,500,2091439689,6012
R_nfp_3,Root,nfp,M+,R-,M+R-,52.4,500,2051526718,9832
R_nfp_4,Root,nfp,M+,R-,M+R-,56.2,500,1912811388,12184
R_nfp_5,Root,nfp,M+,R-,M+R-,54.7,500,1965265082,11233
R_pt4_1,Root,pt4,M-,R+,M-R+,39.3,500,2735368957,16004
R_pt4_2,Root,pt4,M-,R+,M-R+,52.1,500,2063339731,7934
R_pt4_3,Root,pt4,M-,R+,M-R+,51.2,500,2099609375,2846
R_pt4_4,Root,pt4,M-,R+,M-R+,51.2,500,2099609375,9666
R_pt4_5,Root,pt4,M-,R+,M-R+,52.1,500,2063339731,10348
RS_A17_1,Rhizosphere,A17,M+,R+,M+R+,51,500,2107843137,2095
RS_A17_2,Rhizosphere,A17,M+,R+,M+R+,50.7,500,2120315582,1081
RS_A17_3,Rhizosphere,A17,M+,R+,M+R+,51.6,500,2083333333,4029
RS_A17_4,Rhizosphere,A17,M+,R+,M+R+,53.1,500,2024482109,2144
RS_A17_5,Rhizosphere,A17,M+,R+,M+R+,52.9,500,2032136106,2302
RS_dmi2_1,Rhizosphere,dmi2,M-,R-,M-R-,50.8,500,2116141732,1567
RS_dmi2_2,Rhizosphere,dmi2,M-,R-,M-R-,53.6,500,2005597015,4005
RS_dmi2_3,Rhizosphere,dmi2,M-,R-,M-R-,51.6,500,2083333333,2867
RS_dmi2_4,Rhizosphere,dmi2,M-,R-,M-R-,51,500,2107843137,4543
RS_dmi2_5,Rhizosphere,dmi2,M-,R-,M-R-,53.2,500,2020676692,6973
RS_dmi3_1,Rhizosphere,dmi3,M-,R-,M-R-,50.4,500,2132936508,5192
RS_dmi3_2,Rhizosphere,dmi3,M-,R-,M-R-,51.5,500,2087378641,5318
