"Feature.ID","ID","SUM","R_A17_1","R_A17_2","R_A17_3","R_A17_4","R_A17_5","R_dmi2_5","R_dmi2_1","R_dmi2_2","R_dmi2_3","R_dmi2_4","R_dmi3_1","R_dmi3_3","R_dmi3_2","R_dmi3_5","R_dmi3_4","R_ipd3_1","R_ipd3_2","R_ipd3_3","R_ipd3_4","R_ipd3_5","R_lyk3_1","R_lyk3_3","R_lyk3_2","R_lyk3_4","R_lyk3_5","R_nfp_1","R_nfp_2","R_nfp_3","R_nfp_4","R_nfp_5","R_pt4_1","R_pt4_3","R_pt4_5","R_pt4_2","R_pt4_4","RS_A17_1","RS_A17_3","RS_A17_2","RS_A17_5","RS_A17_4","CK_1","CK_2","CK_3","CK_4","CK_5","RS_dmi2_1","RS_dmi2_4","RS_dmi2_2","RS_dmi2_3","RS_dmi2_5","RS_dmi3_1","RS_dmi3_2","RS_dmi3_3","RS_dmi3_4","RS_dmi3_5","RS_ipd3_1","RS_ipd3_3","RS_ipd3_4","RS_ipd3_5","RS_ipd3_2","RS_lyk3_1","RS_lyk3_3","RS_lyk3_2","RS_lyk3_4","RS_lyk3_5","RS_nfp_1","RS_nfp_2","RS_nfp_3","RS_nfp_4","RS_nfp_5","RS_pt4_2","RS_pt4_3","RS_pt4_1","RS_pt4_4","RS_pt4_5"
"fbcd1b025b6eb7e520f682628bc70a27","OTU1","10533",173,516,0,522,0,0,0,356,0,0,0,0,0,0,0,532,611,696,245,610,0,0,127,426,694,0,310,88,64,554,0,0,0,0,0,0,117,0,76,0,0,0,0,0,0,0,0,136,0,114,0,0,0,0,0,0,22,0,0,0,0,0,0,199,215,0,0,60,0,16,0,144,0,0,0
"3ed60dddd2d2f3f27c7983c32cd4d0fe","OTU2","4759",0,104,172,566,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,701,1398,0,0,225,0,520,0,0,0,0,0,0,0,0,0,0,69,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1efb10ca16cfa69cee18c593bf60f039","OTU3","4374",0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,139,326,137,0,176,89,0,185,318,441,0,0,105,240,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,75,0,0,0,0,0,0
"6f491ab27f96dc4d199f536901b69181","OTU4","4232",183,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,1181,0,164,0,0,260,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"191aa05cc7d8ba047d50a66c93426421","OTU5","3389",0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,282,0,333,0,0,0,0,428,0,386,344,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0
"f8fb6b3eaace88b89f94c812431527c3","OTU6","2252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,143,332,0,0,0,389,137,0,0,3,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0
"2e6f6fa5f98f3c2fa5e1310a7b3a9ce9","OTU7","2217",0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,497,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0
"3e045e8353a012b3eb0fbe4529e792b9","OTU8","1122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,43,26,64,0,0,0,0,0,0,14,0,0,0,0,100,0,166,54,131,0,0,0,0,12,27,95,0,0,0,0
"54a0b3c0b61b4bf6cc1991e1181747a2","OTU9","1094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5a01855b9ecaa7a395da4c840be5ac8f","OTU10","938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03a5eb44a6a6fc7d0b30bb77786b7cd7","OTU11","921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a50794fb3accd120c709387b78485327","OTU12","828",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,55,0,30,0,0,0,0,0,42,0,0,0,36,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,41,0,0,0,0,25,0,0,0
"1b0aefa4c172a2141b68af598e1ad7b7","OTU13","810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0df82d895f1d6a3de0356d3d2aeb7ce8","OTU14","766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,117,0,0,0,0,0,0,0,0,62,0,0,0
