"AMF_ID","Niche","Genotype","MS","RS","Symbiosis","MASS.mg.","Spike.pg.","Cope_per_g","Spike_AMF_reads"
"R_A17_1","Root","A17","M+","R+","M+R+",52.1,5,20633397,26158
"R_A17_2","Root","A17","M+","R+","M+R+",52,5,20673077,22817
"R_A17_3","Root","A17","M+","R+","M+R+",53.4,5,20131086,16399
"R_A17_4","Root","A17","M+","R+","M+R+",56,5,19196429,32089
"R_A17_5","Root","A17","M+","R+","M+R+",51.9,5,20712909,27586
"R_dmi2_5","Root","dmi2","M-","R-","M-R-",51.6,5,20833333,18703
"R_dmi2_1","Root","dmi2","M-","R-","M-R-",50.3,5,21371769,32866
"R_dmi2_2","Root","dmi2","M-","R-","M-R-",51.2,5,20996094,50101
"R_dmi2_3","Root","dmi2","M-","R-","M-R-",51.2,5,20996094,59133
"R_dmi2_4","Root","dmi2","M-","R-","M-R-",52.3,5,20554493,46864
"R_dmi3_1","Root","dmi3","M-","R-","M-R-",53.6,5,20055970,36888
"R_dmi3_3","Root","dmi3","M-","R-","M-R-",52.1,5,20633397,32211
"R_dmi3_2","Root","dmi3","M-","R-","M-R-",51.9,5,20712909,46803
"R_dmi3_5","Root","dmi3","M-","R-","M-R-",53.5,5,20093458,30740
"R_dmi3_4","Root","dmi3","M-","R-","M-R-",38,5,28289474,53611
"R_ipd3_1","Root","ipd3","M+","R-","M+R-",53.9,5,19944341,58718
"R_ipd3_2","Root","ipd3","M+","R-","M+R-",54.1,5,19870610,40848
"R_ipd3_3","Root","ipd3","M+","R-","M+R-",54.1,5,19870610,34134
"R_ipd3_4","Root","ipd3","M+","R-","M+R-",56.2,5,19128114,23375
"R_ipd3_5","Root","ipd3","M+","R-","M+R-",54.4,5,19761029,49972
"R_lyk3_1","Root","lyk3","M+","R-","M+R-",55.1,5,19509982,33308
"R_lyk3_3","Root","lyk3","M+","R-","M+R-",58.5,5,18376068,15341
"R_lyk3_2","Root","lyk3","M+","R-","M+R-",53.5,5,20093458,14592
"R_lyk3_4","Root","lyk3","M+","R-","M+R-",56.8,5,18926056,23409
"R_lyk3_5","Root","lyk3","M+","R-","M+R-",51.8,5,20752896,19972
"R_nfp_1","Root","nfp","M+","R-","M+R-",56.6,5,18992933,37196
"R_nfp_2","Root","nfp","M+","R-","M+R-",55.8,5,19265233,11831
"R_nfp_3","Root","nfp","M+","R-","M+R-",56.9,5,18892794,19367
"R_nfp_4","Root","nfp","M+","R-","M+R-",56.2,5,19128114,14354
"R_nfp_5","Root","nfp","M+","R-","M+R-",54.7,5,19652651,15241
"R_pt4_1","Root","pt4","M-","R+","M-R+",39.3,5,27353690,19497
"R_pt4_3","Root","pt4","M-","R+","M-R+",51.2,5,20996094,28485
"R_pt4_5","Root","pt4","M-","R+","M-R+",52.1,5,20633397,25635
"R_pt4_2","Root","pt4","M-","R+","M-R+",53.4,5,20131086,25524
"R_pt4_4","Root","pt4","M-","R+","M-R+",50.7,5,21203156,32756
"RS_A17_1","Rhizosphere","A17","M+","R+","M+R+",49.5,5,21717172,15808
"RS_A17_3","Rhizosphere","A17","M+","R+","M+R+",51.6,5,20833333,15596
"RS_A17_2","Rhizosphere","A17","M+","R+","M+R+",53.1,5,20244821,19359
"RS_A17_5","Rhizosphere","A17","M+","R+","M+R+",52.9,5,20321361,24320
