"","name","betweenness","closeness","degree"
"OTU158","OTU158",811.75,0.00260521825215907,21
"OTU153","OTU153",126.2,0.00258972758655517,28
"OTU16","OTU16",83,0.00248165437006926,67
"OTU203","OTU203",465,0.00257654927908151,17
"OTU69","OTU69",365,0.00255706735059695,62
"OTU201","OTU201",452.5,0.00230610287063685,13
"OTU603","OTU603",179,0.00216329409117852,8
"OTU22","OTU22",38,0.00231718563901028,42
"OTU380","OTU380",162,0.00232730251674494,11
"OTU79","OTU79",102.5,0.00250697565977332,68
"OTU533","OTU533",162.5,0.00216498483428124,6
"OTU350","OTU350",222,0.00238829354038246,11
"OTU30","OTU30",149,0.0025114333000987,57
"OTU190","OTU190",557.5,0.00261056390790975,19
"OTU6","OTU6",296.25,0.00244045294806716,49
"OTU52","OTU52",154.5,0.00225895279466345,16
"OTU122","OTU122",318,0.00244984553723888,15
"OTU273","OTU273",22,0.00214525983387108,3
"OTU38","OTU38",123,0.0024835465044083,51
"OTU609","OTU609",1066.5,0.00263558781515041,20
"OTU199","OTU199",295.25,0.00246555618016312,12
"OTU281","OTU281",40.7857142857143,0.00216582885187247,19
"OTU150","OTU150",39.875,0.00205045766215019,8
"OTU217","OTU217",106.25,0.00228535907561796,12
"OTU83","OTU83",427,0.00256140323915053,33
"OTU614","OTU614",908.625,0.00220267713378841,14
"OTU73","OTU73",130,0.00251792764483119,56
"OTU186","OTU186",14,0.00208929653385705,17
"OTU958","OTU958",97.25,0.00210897495381345,6
"OTU1038","OTU1038",90,0.00181653042688465,10
"OTU295","OTU295",382.25,0.00219744963994788,12
"OTU77","OTU77",209.5,0.00250573814034138,14
"OTU46","OTU46",326.25,0.0025511570772924,61
"OTU487","OTU487",267,0.00227823646271894,27
"OTU290","OTU290",62.25,0.00210242156916336,5
"OTU184","OTU184",85,0.00223726159181162,12
"OTU2","OTU2",4.75,0.00233491017600553,43
"OTU504","OTU504",136.75,0.00214581223284638,6
"OTU427","OTU427",33.6666666666667,0.00196667276335223,9
"OTU695","OTU695",121.75,0.00228535907561796,12
"OTU14","OTU14",6,0.00220342456245497,35
"OTU294","OTU294",294.5,0.00242649538844551,11
"OTU207","OTU207",636,0.00240573720207952,18
"OTU127","OTU127",615.25,0.00256541158180713,16
"OTU320","OTU320",547.5,0.00228096466557637,18
"OTU255","OTU255",243.5,0.00224305270500941,10
"OTU485","OTU485",29,0.00182199143664025,4
"OTU461","OTU461",263,0.00211728487856313,8
"OTU175","OTU175",487.944444444444,0.00228398107036489,16
"OTU47","OTU47",50,0.00234697709350357,14
"OTU1959","OTU1959",17.0333333333333,0.00215682722088499,11
"OTU890","OTU890",25.9222222222222,0.00192925796880004,11
"OTU159","OTU159",500.75,0.00240801387015989,12
"OTU181","OTU181",264.25,0.00259673486558002,51
"OTU555","OTU555",45,0.00223469180248006,7
"OTU99","OTU99",654,0.00256417488698399,21
"OTU3","OTU3",126.5,0.00252977545713043,64
"OTU553","OTU553",141.75,0.00238973751123176,24
"OTU235","OTU235",380,0.00237890765318381,12
"OTU11","OTU11",230.75,0.00259014346804669,66
"OTU397","OTU397",421.533333333333,0.00249337385896979,13
"OTU28","OTU28",15,0.002431729202636,62
"OTU284","OTU284",276,0.00225623114636849,8
"OTU49","OTU49",45,0.00245651356855269,59
"OTU403","OTU403",90.125,0.00202587036455537,4
"OTU228","OTU228",349,0.00234832740380664,16
"OTU51","OTU51",119.25,0.00249868818870093,65
"OTU462","OTU462",1424,0.00251424950909278,18
"OTU690","OTU690",29.9222222222222,0.00192925796880004,11
"OTU114","OTU114",247.25,0.00235434270283251,13
"OTU226","OTU226",189,0.00192411668613231,6
"OTU432","OTU432",53.25,0.00212175027423622,7
"OTU103","OTU103",615.25,0.00262286826381858,32
"OTU356","OTU356",440,0.00242076825501341,15
"OTU683","OTU683",64.5,0.00210897495381345,6
"OTU87","OTU87",45.2857142857143,0.00216582885187247,19
"OTU282","OTU282",783,0.00231203181355775,20
"OTU417","OTU417",266,0.0022056115168211,11
"OTU1327","OTU1327",205,0.00214192387602545,20
"OTU449","OTU449",171.5,0.00208721206909507,18
"OTU148","OTU148",137,0.00245155121903384,21
"OTU433","OTU433",183,0.00209256678426892,9
"OTU409","OTU409",195.75,0.00205133254562163,7
"OTU996","OTU996",27.9222222222222,0.00192925796880004,11
"OTU306","OTU306",173,0.00222480299369491,9
"OTU246","OTU246",444.333333333333,0.00253153020874998,21
"OTU327","OTU327",22,0.00210397862357718,4
"OTU566","OTU566",82,0.00208007022317073,12
"OTU354","OTU354",160,0.00241987784456641,12
"OTU104","OTU104",571,0.00241037037751221,11
