"","name","betweenness","closeness","degree"
"OTU158","OTU158",362.75,0.00346984874929302,28
"OTU153","OTU153",28.218722943723,0.00330301168605535,35
"OTU16","OTU16",52,0.00335997795854459,79
"OTU203","OTU203",37,0.00294941749004571,6
"OTU69","OTU69",106,0.00343140282610337,60
"OTU191","OTU191",344.5,0.003007998267393,15
"OTU201","OTU201",302.5,0.00349644236988864,17
"OTU603","OTU603",254,0.00333038039604884,17
"OTU22","OTU22",317.47619047619,0.0033712827393695,51
"OTU380","OTU380",159.5,0.00344763388886207,22
"OTU79","OTU79",172.708333333333,0.00343083774195983,67
"OTU350","OTU350",505.5,0.00294993952623971,11
"OTU30","OTU30",38.5,0.0034362253751499,71
"OTU31","OTU31",269.5,0.00288432972503685,13
"OTU190","OTU190",158.75,0.00329720693600451,15
"OTU6","OTU6",220.5,0.00316544849657024,19
"OTU52","OTU52",67,0.00314317146000314,11
"OTU122","OTU122",331,0.00364878276606924,32
"OTU273","OTU273",235,0.00316211532867027,19
"OTU38","OTU38",617.25,0.00373255497120334,52
"OTU199","OTU199",114,0.00270325796650123,9
"OTU150","OTU150",87,0.00277129602429872,10
"OTU1394","OTU1394",12.75,0.00289511015894155,12
"OTU83","OTU83",591.5,0.00368458480256152,57
"OTU1462","OTU1462",15,0.00252104441828161,4
"OTU614","OTU614",90.3333333333334,0.00315152202756321,29
"OTU73","OTU73",468.75,0.00388578889286103,71
"OTU186","OTU186",61.8333333333333,0.00334488433389974,42
"OTU958","OTU958",193,0.00290108181340822,6
"OTU295","OTU295",205,0.00349490268443475,28
"OTU77","OTU77",445,0.00360668390661574,30
"OTU46","OTU46",137,0.00337462752548687,74
"OTU830","OTU830",288.13474025974,0.00339914069723174,19
"OTU487","OTU487",45.5,0.00271777533781948,6
"OTU290","OTU290",30,0.0029538781466187,6
"OTU184","OTU184",119.708333333333,0.00315713370145512,11
"OTU2","OTU2",499.416666666667,0.00370373113874918,77
"OTU504","OTU504",119,0.00302373328253461,11
"OTU23","OTU23",264,0.00328044167866762,23
"OTU695","OTU695",24.718722943723,0.00330301168605535,35
"OTU14","OTU14",38,0.00332608247354101,73
"OTU294","OTU294",529.930735930736,0.00345830494641357,27
"OTU207","OTU207",106,0.00323912867438659,15
"OTU127","OTU127",602.5,0.00368177667815381,48
"OTU320","OTU320",412.5,0.00345651189558568,25
"OTU255","OTU255",67.5,0.00293667644579923,7
"OTU485","OTU485",764.295454545455,0.00348890354228377,31
"OTU461","OTU461",31.218722943723,0.00330301168605535,35
"OTU175","OTU175",267.5,0.00307214942934824,19
"OTU47","OTU47",77,0.00339466358883834,70
"OTU666","OTU666",92,0.00273001018293798,7
"OTU159","OTU159",130.25,0.00333038039604884,17
