"","name","betweenness","closeness","degree"
"OTU158","OTU158",149,0.00252740337105062,23
"OTU153","OTU153",184.25,0.00266620452454908,36
"OTU16","OTU16",199.5,0.00241151546866598,16
"OTU559","OTU559",644,0.00224054490051981,15
"OTU203","OTU203",88.0833333333333,0.00245267562383805,51
"OTU738","OTU738",0,0.00213630479087712,43
"OTU191","OTU191",253.75,0.00268872858091594,49
"OTU603","OTU603",18,0.00201040990247501,5
"OTU2002","OTU2002",23.4,0.00208571017388566,15
"OTU596","OTU596",254.833333333333,0.00234131174331731,55
"OTU533","OTU533",866.020833333333,0.00267396123291005,59
"OTU174","OTU174",474.666666666667,0.00243665904804604,75
"OTU30","OTU30",292,0.00239967556386377,17
"OTU31","OTU31",65,0.00183154879429143,13
"OTU2261","OTU2261",34,0.00229378842095605,13
"OTU1041","OTU1041",0.4,0.00134832490854986,7
"OTU6","OTU6",16,0.00220194475760992,32
"OTU52","OTU52",28.5,0.00239802402820076,23
"OTU38","OTU38",1043.5,0.00267231058662563,36
"OTU199","OTU199",349.5,0.00260544903611413,31
"OTU281","OTU281",57,0.0023820640108241,47
"OTU150","OTU150",163.25,0.00266620452454908,36
"OTU217","OTU217",926.428571428571,0.0027042741052233,35
"OTU317","OTU317",159.75,0.00236321141525642,67
"OTU396","OTU396",216,0.00230417932045143,46
"OTU125","OTU125",299.25,0.0026408776164495,38
"OTU679","OTU679",0,0.00213630479087712,43
"OTU73","OTU73",57.2666666666667,0.00213350173773717,16
"OTU627","OTU627",67.7666666666668,0.00213350173773717,16
"OTU283","OTU283",781.583333333333,0.00246898949198072,72
"OTU295","OTU295",3.6625,0.00218211018783605,44
"OTU77","OTU77",100.5,0.0024968726669846,31
"OTU46","OTU46",7,0.00210861029929615,7
"OTU710","OTU710",301,0.00242724927121841,48
"OTU2","OTU2",248.25,0.00248899862607276,27
"OTU427","OTU427",471.607142857143,0.00268114484885046,37
"OTU23","OTU23",511.25,0.00269810134608276,59
"OTU1186","OTU1186",31.1071428571429,0.00222780659074302,42
"OTU188","OTU188",377,0.0026015854061465,41
"OTU1840","OTU1840",32.5,0.00229378842095605,13
"OTU341","OTU341",3.25,0.00212674552639078,44
"OTU14","OTU14",537.5,0.00268950956793029,36
"OTU127","OTU127",21.6666666666667,0.00216913152312077,10
"OTU926","OTU926",250.25,0.00221945037530906,25
"OTU399","OTU399",84,0.00243925046711646,41
"OTU1265","OTU1265",0.4,0.00134832490854986,7
"OTU1030","OTU1030",113.416666666667,0.0022673320530465,39
"OTU818","OTU818",170.285714285714,0.0022729958995154,43
"OTU47","OTU47",459.5,0.00239512926512644,17
"OTU478","OTU478",7.91666666666667,0.00235833482694539,39
"OTU576","OTU576",401,0.00252278070980958,19
"OTU181","OTU181",32.625,0.00230846653185222,19
"OTU99","OTU99",639,0.00268205091069039,52
"OTU3","OTU3",388,0.00260119967328932,36
"OTU776","OTU776",112.916666666667,0.0022673320530465,39
"OTU553","OTU553",49.8333333333333,0.0019286700662691,12
"OTU503","OTU503",3.6625,0.00218211018783605,44
"OTU235","OTU235",49,0.00237625079901433,33
"OTU210","OTU210",451.875,0.0025029221616237,54
"OTU11","OTU11",1034.25,0.0028546063355133,53
"OTU28","OTU28",215,0.00232959588500183,23
"OTU2294","OTU2294",36,0.00229378842095605,13
"OTU842","OTU842",3.6625,0.00218211018783605,44
"OTU49","OTU49",124.541666666667,0.00251466679407645,37
"OTU709","OTU709",25.6,0.00181042988657657,9
"OTU735","OTU735",43,0.00217607492661187,48
"OTU923","OTU923",0.4,0.00134832490854986,7
"OTU228","OTU228",348.285714285714,0.00250272797349111,37
"OTU94","OTU94",4.4,0.0024000844829738,44
"OTU2779","OTU2779",118.166666666668,0.00180929980097702,6
"OTU51","OTU51",268.3125,0.00264625871942248,47
"OTU771","OTU771",3,0.00200079631693414,8
"OTU933","OTU933",606.25,0.00181696610268039,13
"OTU918","OTU918",30.625,0.00230846653185222,19
"OTU285","OTU285",255.333333333333,0.00256335984701868,44
"OTU114","OTU114",3,0.00144580961000731,3
"OTU473","OTU473",23.6,0.00181042988657657,9
"OTU356","OTU356",1222,0.00249144810438171,26
"OTU298","OTU298",0.166666666666667,0.00219977474306631,49
"OTU1815","OTU1815",23.4,0.00208571017388566,15
"OTU479","OTU479",240.666666666667,0.00274553301778007,40
"OTU87","OTU87",45.8333333333333,0.00246434098593354,43
"OTU417","OTU417",350.107142857143,0.00268028250177568,37
"OTU639","OTU639",21.6666666666667,0.00216913152312077,10
"OTU1110","OTU1110",72.1428571428571,0.00186729158691775,14
"OTU433","OTU433",113.583333333333,0.00258210446678252,54
"OTU996","OTU996",35.5,0.00229378842095605,13
"OTU306","OTU306",80.25,0.00227136961316304,53
"OTU698","OTU698",3.6625,0.00218211018783605,44
"OTU246","OTU246",235.583333333333,0.00233085020091929,53
"OTU1067","OTU1067",455.340476190476,0.00251711005560296,38
"OTU59","OTU59",354,0.0025745393505467,48
"OTU67","OTU67",652,0.00242947831812075,30
"OTU571","OTU571",24.1,0.00181042988657657,9
"OTU156","OTU156",277.083333333333,0.00272609554964902,50
"OTU393","OTU393",133,0.00246300565506098,26
"OTU76","OTU76",1050,0.00265498473383778,53
"OTU40","OTU40",213.5,0.00245828898170295,30
"OTU136","OTU136",213.5,0.0021561250121282,12
"OTU27","OTU27",227.5,0.0025076420391142,23
"OTU227","OTU227",31.3571428571429,0.00224860586436409,15
"OTU668","OTU668",20.4333333333333,0.002179361447096,44
"OTU353","OTU353",57.2666666666667,0.00213350173773717,16
"OTU65","OTU65",203,0.00268554425239819,53
"OTU821","OTU821",621.416666666667,0.00240741676958373,30
"OTU446","OTU446",317.75,0.00258728865085833,54
"OTU205","OTU205",23.25,0.00203538724259984,13
"OTU589","OTU589",283.166666666667,0.00274553301778007,40
"OTU106","OTU106",129.041666666667,0.00251466679407645,37
"OTU157","OTU157",1238,0.00228420018730442,24
"OTU137","OTU137",931,0.00264494986497531,37
"OTU304","OTU304",232,0.00252203629210224,51
"OTU95","OTU95",313.75,0.00271916467261257,59
"OTU724","OTU724",90.6666666666672,0.00180929980097702,6
"OTU110","OTU110",4,0.00243291835855864,33
"OTU782","OTU782",556.25,0.00246593921459836,28
"OTU45","OTU45",369.916666666667,0.00255770175151416,36
"OTU163","OTU163",396,0.00251133238739813,28
"OTU172","OTU172",289.5,0.00247331907052669,35
"OTU458","OTU458",34,0.0020466765043584,10
"OTU1329","OTU1329",23.4,0.00208571017388566,15
"OTU113","OTU113",1073.16666666667,0.00271157027034356,39
"OTU231","OTU231",2,0.00191859773528723,3
"OTU197","OTU197",453.5,0.00231665419534491,21
"OTU382","OTU382",295.044642857143,0.00268028250177568,37
"OTU200","OTU200",991.657738095238,0.00262776177762829,27
"OTU57","OTU57",189.25,0.00250566907628509,22
"OTU333","OTU333",30.8571428571429,0.00224860586436409,15
"OTU346","OTU346",255.5,0.00247878777362718,20
"OTU18","OTU18",816.833333333333,0.00270417903828576,36
"OTU177","OTU177",94,0.00171686493595236,3
"OTU825","OTU825",0,0.00213630479087712,43
"OTU1206","OTU1206",31.6071428571429,0.00222761800806398,42
"OTU62","OTU62",263.75,0.00255730276163125,38
"OTU5","OTU5",137.5,0.00262154807657018,55
"OTU646","OTU646",589.285714285714,0.00251816858635052,28
"OTU155","OTU155",109,0.00259811792337631,41
"OTU115","OTU115",125,0.0023955595907426,44
"OTU431","OTU431",188,0.00211758527515903,45
"OTU2353","OTU2353",33,0.00229378842095605,13
"OTU123","OTU123",134.25,0.00258345863107694,45
"OTU303","OTU303",215.416666666667,0.00242581258657118,38
"OTU20","OTU20",101,0.0025107459928494,18
"OTU570","OTU570",346,0.00223075859176672,26
"OTU251","OTU251",452,0.00230219007341684,16
"OTU254","OTU254",430.833333333333,0.00259017030369747,44
"OTU29","OTU29",5,0.00216998348642567,23
"OTU423","OTU423",84,0.00189171447975014,12
"OTU1732","OTU1732",26.4,0.00208717286174358,15
"OTU2236","OTU2236",90.1666666666672,0.00180929980097702,6
"OTU64","OTU64",33,0.00229378842095605,13
"OTU723","OTU723",254,0.00218369695527133,21
"OTU17","OTU17",1798.33333333333,0.00291783380018674,50
"OTU86","OTU86",65,0.00229427784163518,25
"OTU955","OTU955",494.340476190476,0.00251711005560296,38
"OTU659","OTU659",0.166666666666667,0.00219977474306631,49
"OTU71","OTU71",572.75,0.00246593921459836,28
"OTU429","OTU429",131.041666666667,0.00251466679407645,37
"OTU270","OTU270",72.1428571428571,0.0018671730439962,14
"OTU328","OTU328",212.4,0.0025019515221873,42
"OTU451","OTU451",1203,0.00253592775649007,55
"OTU362","OTU362",57.7666666666667,0.00213350173773717,16
"OTU944","OTU944",72.6428571428571,0.0018671730439962,14
"OTU371","OTU371",603.75,0.00181669873139927,13
"OTU97","OTU97",290.333333333333,0.00256376072933865,36
"OTU120","OTU120",30.625,0.0023096341770427,19
"OTU289","OTU289",759.458333333333,0.00265269580210889,47
"OTU626","OTU626",21.1,0.00225563570581097,50
"OTU692","OTU692",72.1428571428571,0.0018671730439962,14
"OTU674","OTU674",34.4,0.00225736691693341,24
"OTU425","OTU425",12.8333333333333,0.00229470428145925,37
"OTU202","OTU202",0,0.00213630479087712,43
"OTU976","OTU976",83,0.00232552190525359,16
"OTU24","OTU24",301.75,0.00241986613300552,31
"OTU265","OTU265",118.583333333333,0.00258210446678252,54
"OTU258","OTU258",37.5,0.00238964614119941,22
"OTU513","OTU513",10,0.00159882326607617,3
"OTU249","OTU249",134,0.00242587731853225,23
"OTU447","OTU447",313.166666666667,0.00247865874817819,36
"OTU101","OTU101",175,0.00244624977677971,12
"OTU128","OTU128",790,0.00228373070247557,14
"OTU705","OTU705",0.166666666666667,0.00219977474306631,49
"OTU435","OTU435",191,0.00228275583415322,16
"OTU238","OTU238",50,0.00240860546560752,46
"OTU2028","OTU2028",71.6666666666667,0.00178479320493531,6
"OTU795","OTU795",250,0.00142119340452565,12
"OTU252","OTU252",459.666666666667,0.00272998037144113,57
"OTU53","OTU53",276,0.00259721370913284,50
"OTU37","OTU37",83,0.00247287870282675,24
