"","name","betweenness","closeness","degree"
"OTU158","OTU158",345,0.0037447152705744,23
"OTU153","OTU153",358,0.0037501078155997,23
"OTU16","OTU16",331.666666666667,0.0041125354192113,62
"OTU559","OTU559",672.2,0.00364590928977687,17
"OTU203","OTU203",284,0.00337086226656779,27
"OTU69","OTU69",40,0.00327171601504989,14
"OTU191","OTU191",93.1666666666667,0.00394045189102286,52
"OTU603","OTU603",209.142857142857,0.00334790789235807,15
"OTU596","OTU596",4.54545454545455,0.00332551836517517,24
"OTU79","OTU79",48.1666666666666,0.00340040056718681,16
"OTU533","OTU533",65.125,0.00294556883352529,9
"OTU174","OTU174",4.04545454545454,0.00332551836517517,24
"OTU30","OTU30",275,0.00383972968303031,36
"OTU31","OTU31",178,0.0029394128228945,12
"OTU1041","OTU1041",41.0833333333333,0.0031575723320882,8
"OTU6","OTU6",144,0.00357753593634848,12
"OTU52","OTU52",98.75,0.00368548104741371,40
"OTU122","OTU122",47.1571428571429,0.00344120359536952,19
"OTU38","OTU38",163,0.00402801889946467,59
"OTU199","OTU199",948.825,0.00442237189494213,56
"OTU281","OTU281",49,0.00326583932070542,16
"OTU150","OTU150",309,0.00370691636455298,35
"OTU217","OTU217",241.333333333333,0.00328111978055871,29
"OTU317","OTU317",4.04545454545454,0.00332551836517517,24
"OTU396","OTU396",97.375,0.0034222080770955,18
"OTU125","OTU125",252.5,0.0035768961126293,15
"OTU614","OTU614",37.5,0.00327171601504989,14
"OTU73","OTU73",139,0.00382305377889751,33
"OTU627","OTU627",129.5,0.0033589734976991,22
"OTU77","OTU77",115.45,0.00381091751650127,21
"OTU46","OTU46",122.5,0.0040172904179589,44
"OTU2","OTU2",264.833333333333,0.00407028569335282,65
"OTU427","OTU427",204,0.00359417456187012,24
"OTU23","OTU23",13,0.00350049356959331,17
"OTU1186","OTU1186",22.9,0.0026602678357657,6
"OTU188","OTU188",256.5,0.00355501203371573,22
"OTU14","OTU14",576,0.00403758181150145,35
"OTU294","OTU294",57.1571428571429,0.00344120359536952,19
"OTU127","OTU127",335,0.00380229582621987,23
"OTU926","OTU926",5.04545454545455,0.00332551836517517,24
"OTU399","OTU399",83,0.00341173500371879,16
"OTU1265","OTU1265",8.375,0.00317299149638279,12
"OTU175","OTU175",18,0.00299029648789677,6
"OTU483","OTU483",58,0.00290805035579996,5
"OTU47","OTU47",188.5,0.00374489757705127,30
"OTU478","OTU478",84.975,0.00374951724965411,20
"OTU181","OTU181",526.357142857143,0.00382772189303814,30
"OTU99","OTU99",125.833333333333,0.0038677238445175,42
"OTU3","OTU3",48,0.00370672399733116,38
"OTU553","OTU553",65.625,0.00346549579115536,18
"OTU235","OTU235",44,0.00350195233842868,13
"OTU210","OTU210",511.25,0.00350092249307692,32
"OTU11","OTU11",102.5,0.00390489243973775,49
"OTU873","OTU873",27,0.00223801264477144,6
"OTU28","OTU28",273.5,0.00412904078253581,41
"OTU49","OTU49",22.9,0.00266950702213822,6
"OTU709","OTU709",85.5,0.00367440373613372,18
"OTU735","OTU735",97.875,0.0034222080770955,18
"OTU228","OTU228",171.95,0.00362709147161982,13
"OTU94","OTU94",196,0.00323024543404808,9
"OTU51","OTU51",285.5,0.00408638620436018,53
"OTU933","OTU933",157.583333333333,0.00358440925351093,15
"OTU285","OTU285",138,0.00335734957395234,23
"OTU114","OTU114",186,0.00383470871552597,38
"OTU1513","OTU1513",10.875,0.00317299149638279,12
"OTU473","OTU473",554.416666666667,0.00380919005191926,21
"OTU226","OTU226",9,0.00283644491340334,5
"OTU356","OTU356",395,0.00423280423280423,55
"OTU298","OTU298",12.5,0.00283284513968759,7
"OTU479","OTU479",11.375,0.00317299149638279,12
"OTU87","OTU87",1,0.00256872627139107,2
"OTU639","OTU639",381,0.00355138859293984,19
"OTU1110","OTU1110",48.375,0.0033322559039244,14
"OTU433","OTU433",6.5,0.00250661118700573,6
"OTU246","OTU246",115,0.00330880406585843,15
"OTU1323","OTU1323",95.375,0.0034222080770955,18
"OTU327","OTU327",8.25,0.00268023221531914,4
"OTU702","OTU702",489,0.00349795894095795,15
"OTU104","OTU104",54.5,0.0031751878123591,12
"OTU59","OTU59",121,0.00382675514124553,33
"OTU67","OTU67",76.975,0.00374951724965411,20
"OTU571","OTU571",415.5,0.00382747283451156,29
"OTU156","OTU156",61,0.00333589084965139,17
"OTU76","OTU76",402.5,0.00369344413665743,21
"OTU40","OTU40",243.392857142857,0.00377960374634323,25
"OTU136","OTU136",455.3,0.00389617473564454,34
"OTU27","OTU27",512.25,0.0041873592000469,54
"OTU227","OTU227",694.5,0.004016999943762,35
"OTU668","OTU668",5.54545454545455,0.00332551836517517,24
"OTU353","OTU353",267.2,0.00379336767595536,33
"OTU65","OTU65",233,0.00389230763242604,39
"OTU821","OTU821",76.475,0.00374951724965411,20
"OTU1154","OTU1154",150,0.00355268814148225,19
"OTU446","OTU446",918.25,0.00403307118370639,35
"OTU589","OTU589",98.375,0.0034222080770955,18
"OTU106","OTU106",38.5,0.00327171601504989,14
"OTU237","OTU237",383,0.00346425923744726,15
"OTU137","OTU137",75,0.00395352239077406,36
"OTU304","OTU304",173,0.00337702072477619,34
"OTU95","OTU95",306.916666666667,0.00385594200663222,30
"OTU724","OTU724",35,0.00293035999472535,9
"OTU110","OTU110",144.5,0.00379691083334599,40
"OTU782","OTU782",15,0.00292665509662352,16
"OTU45","OTU45",147.5,0.00369955198425471,33
"OTU163","OTU163",381.5,0.00406145798218645,37
"OTU260","OTU260",119,0.0028538487003573,6
"OTU172","OTU172",248,0.00392803833765417,46
"OTU458","OTU458",290,0.00300038104839315,11
"OTU113","OTU113",118,0.00369116740551534,22
"OTU231","OTU231",138.25,0.00325806125806778,9
"OTU197","OTU197",180,0.00351445671770829,17
"OTU382","OTU382",46.125,0.00346549579115536,18
"OTU860","OTU860",126.5,0.0039368683786795,35
"OTU200","OTU200",8,0.00266251314615866,3
"OTU57","OTU57",259.25,0.00396025488200421,29
"OTU333","OTU333",45.625,0.00346549579115536,18
"OTU346","OTU346",371,0.00358685203517984,27
"OTU18","OTU18",285.25,0.00412497009396682,71
"OTU62","OTU62",387.625,0.00390847905446075,36
"OTU5","OTU5",58,0.0040120843982074,57
"OTU646","OTU646",906,0.00389556762315837,37
"OTU155","OTU155",34,0.00376513112069127,46
"OTU115","OTU115",365.5,0.00378526924620148,23
"OTU123","OTU123",136.5,0.0040868204128506,53
"OTU303","OTU303",169.75,0.00361939852835255,21
"OTU20","OTU20",367.75,0.00398779734013918,42
"OTU570","OTU570",219.25,0.00377539424554409,25
"OTU225","OTU225",198,0.00312152730087778,7
"OTU251","OTU251",48.375,0.0033322559039244,14
"OTU254","OTU254",206.8,0.00303775934870439,16
"OTU29","OTU29",164,0.0031690899641259,12
"OTU506","OTU506",13.5,0.00283284513968759,7
"OTU423","OTU423",490.75,0.00363805698652463,22
"OTU17","OTU17",282,0.0040022252372319,52
"OTU86","OTU86",147,0.00345781466113416,15
"OTU71","OTU71",238.5,0.00416085880125658,35
"OTU984","OTU984",53.375,0.0033322559039244,14
"OTU219","OTU219",76.4583333333333,0.0037508673880835,23
"OTU328","OTU328",99,0.002814681378068,18
"OTU688","OTU688",48.1571428571429,0.00344134570382402,19
"OTU631","OTU631",209,0.00306261829363159,16
"OTU451","OTU451",4.54545454545454,0.00332551836517517,24
"OTU58","OTU58",665.575,0.0041796759079301,43
"OTU139","OTU139",36.75,0.00360874036917414,22
"OTU362","OTU362",161.833333333333,0.0035381948130064,20
"OTU371","OTU371",908.5,0.00392207619025207,37
"OTU97","OTU97",701.5,0.00417414534374087,52
"OTU120","OTU120",49.625,0.00346569996742242,18
"OTU289","OTU289",127.75,0.00323940148818104,9
"OTU692","OTU692",93.0833333333333,0.0037508673880835,23
"OTU425","OTU425",4.54545454545455,0.00332551836517517,24
"OTU24","OTU24",289,0.00374646895301179,15
"OTU142","OTU142",59.6250000000001,0.00346569996742242,18
"OTU265","OTU265",45.6571428571429,0.00344134570382402,19
"OTU33","OTU33",104.333333333333,0.00310029452798016,12
"OTU258","OTU258",315,0.00386758921561423,28
"OTU513","OTU513",16.5,0.00313904723638281,16
"OTU249","OTU249",123,0.00373630643690873,25
"OTU101","OTU101",1220.85,0.00445269677580227,59
"OTU56","OTU56",57.25,0.00363325885152688,22
"OTU128","OTU128",219,0.00408797318289592,39
"OTU435","OTU435",140,0.00322312398068704,11
"OTU410","OTU410",214,0.00322092311656521,16
"OTU238","OTU238",243,0.00380067728069142,18
"OTU132","OTU132",48.6666666666667,0.00340040056718681,16
"OTU252","OTU252",110,0.00358929814864001,25
"OTU53","OTU53",122.5,0.00394172552976791,56
"OTU37","OTU37",346.5,0.00374019134818937,27
"OTU719","OTU719",22.9,0.0026602678357657,6
"OTU334","OTU334",23.4,0.00266950702213822,6
"OTU78","OTU78",106,0.00332617097849298,16
"OTU121","OTU121",103,0.00299050216512357,8
"OTU41","OTU41",327.7,0.00394000165480069,39
"OTU26","OTU26",103.5,0.00397227353075533,46
"OTU465","OTU465",82,0.00307981336331018,16
"OTU176","OTU176",33.5,0.00328043091740531,15
"OTU311","OTU311",748.25,0.00409254052638256,36
"OTU338","OTU338",4.54545454545455,0.00332551836517517,24
"OTU54","OTU54",92,0.00379763179681151,31
"OTU72","OTU72",226.714285714286,0.00393762797290912,50
"OTU107","OTU107",306.25,0.00404331195769079,44
"OTU36","OTU36",120,0.00372655993799004,31
"OTU34","OTU34",8,0.00379738663851538,49
"OTU616","OTU616",95.4166666666667,0.00361457105885245,14
"OTU25","OTU25",27.75,0.00373856932429098,39
"OTU413","OTU413",518,0.00360368152104189,20
"OTU68","OTU68",62,0.00353390606170907,14
"OTU1042","OTU1042",76,0.0030879255933449,13
"OTU257","OTU257",53.1666666666666,0.00340040056718681,16
"OTU7","OTU7",146,0.00368756038380128,28
"OTU21","OTU21",50.3333333333333,0.00331301351709515,12
"OTU42","OTU42",170,0.00389014237921108,40
"OTU35","OTU35",513.25,0.00400949448293559,28
"OTU89","OTU89",186.083333333333,0.00357672979594756,15
"OTU117","OTU117",44,0.00359169599885065,16
"OTU118","OTU118",173.75,0.0039679233079783,43
"OTU274","OTU274",22.9,0.00266950702213822,6
"OTU632","OTU632",72,0.00326671414291221,13
"OTU173","OTU173",40.5,0.00318108653191584,11
"OTU500","OTU500",105.458333333333,0.0037508673880835,23
"OTU39","OTU39",108,0.00404627318008748,48
"OTU170","OTU170",56.875,0.0033322559039244,14
"OTU288","OTU288",281.5,0.00346744244912395,18
"OTU213","OTU213",123,0.00333652527584723,13
"OTU404","OTU404",85,0.00338661609319967,16
"OTU653","OTU653",37.5833333333333,0.0031575723320882,8
"OTU869","OTU869",6.5,0.00250305372554517,6
