Id,Phylum_color,Order_color,Name,Domain,Phylum,Class,Order,Family,Genus,Size
OTU153,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,1597
OTU30,#00FFFFFF,Actinomycetales,Terrabacter,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Intrasporangiaceae,Terrabacter,282254
OTU6,#00FFFFFF,Actinomycetales,Arthrobacter,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcaceae,Arthrobacter,269107
OTU52,#00FFFFFF,Actinomycetales,Amycolatopsis,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,26403
OTU150,#00FFFFFF,Actinomycetales,Nonomuraea,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptosporangiaceae,Nonomuraea,1973
OTU614,#00FFFFFF,Actinomycetales,Mycobacterium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Mycobacteriaceae,Mycobacterium,11409
OTU830,#00FFFFFF,Actinomycetales,Mycobacterium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Mycobacteriaceae,Mycobacterium,6810
OTU23,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,6323
OTU207,#00FFFFFF,Actinomycetales,Intrasporangium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Intrasporangiaceae,Intrasporangium,68502
OTU3,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,226573
OTU11,#00FFFFFF,Actinomycetales,Actinomycetales,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Thermomonosporaceae,Spirillospora,103888
OTU228,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,4915
OTU571,#00FFFFFF,Actinomycetales,Mycobacterium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Mycobacteriaceae,Mycobacterium,4926
OTU27,#00FFFFFF,Actinomycetales,Pseudonocardiaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lentzea,2703
OTU65,#00FFFFFF,Actinomycetales,Pseudonocardiaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lentzea,3713
OTU95,#00FFFFFF,Actinomycetales,Dactylosporangium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Dactylosporangium,10259
OTU45,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,50922
OTU20,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,19824
OTU17,#00FFFFFF,Actinomycetales,Lechevalieria,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lechevalieria,16300
OTU219,#00FFFFFF,Actinomycetales,Marmoricola,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Nocardioidaceae,Marmoricola,60848
OTU26,#00FFFFFF,Actinomycetales,Pseudonocardiaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lechevalieria,22013
OTU96,#00FFFFFF,Actinomycetales,Micrococcaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcaceae,Renibacterium,47545
OTU25,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,21985
OTU413,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,3611
OTU257,#00FFFFFF,Actinomycetales,Marmoricola,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Nocardioidaceae,Marmoricola,45981
OTU21,#00FFFFFF,Actinomycetales,Arthrobacter,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcaceae,Arthrobacter,187677
OTU118,#00FFFFFF,Actinomycetales,Kribbella,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Nocardioidaceae,Kribbella,65839
OTU145,#00FFFFFF,Actinomycetales,Arthrobacter,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcaceae,Arthrobacter,51198
OTU13,#00FFFFFF,Actinomycetales,Micromonospora,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Micromonospora,82272
OTU229,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,14108
OTU8,#00FFFFFF,Actinomycetales,Rhodococcus,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Nocardiaceae,Rhodococcus,60350
OTU4,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,246039
OTU38,#FFFF00FF,Burkholderiales,Oxalobacteraceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Oxalobacteraceae,Pseudoduganella,90387
OTU181,#FFFF00FF,Burkholderiales,Acidovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Acidovorax,39623
OTU99,#FFFF00FF,Burkholderiales,Pelomonas,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Pelomonas,13483
OTU709,#FFFF00FF,Burkholderiales,Acidovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Acidovorax,9090
OTU702,#FFFF00FF,Burkholderiales,Aquabacterium,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,3961
OTU172,#FFFF00FF,Burkholderiales,Aquabacterium,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,27489
OTU410,#FFFF00FF,Burkholderiales,Acidovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Acidovorax,4362
OTU334,#FFFF00FF,Burkholderiales,Massilia,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Oxalobacteraceae,Massilia,8553
OTU500,#FFFF00FF,Burkholderiales,Massilia,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Oxalobacteraceae,Massilia,6613
OTU233,#FFFF00FF,Burkholderiales,Burkholderia,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiaceae,Burkholderia,12888
OTU124,#FFFF00FF,Burkholderiales,Burkholderiales,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Rubrivivax,50902
OTU179,#FFFF00FF,Burkholderiales,Variovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Variovorax,28407
OTU376,#FFFF00FF,Burkholderiales,Proteobacteria,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Rubrivivax,31509
OTU161,#FFFF00FF,Burkholderiales,Comamonadaceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Polaromonas,57440
OTU90,#FFFF00FF,Burkholderiales,Burkholderiales,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,80913
OTU75,#FFFF00FF,Burkholderiales,Variovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Variovorax,161889
OTU74,#FFFF00FF,Burkholderiales,Comamonadaceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Ramlibacter,144252
OTU487,#0080FFFF,Others,Shewanella,Bacteria,Gammaproteobacteria,Alteromonadales,Alteromonadales,Shewanellaceae,Shewanella,3639
OTU354,#00FFFFFF,Others,Bacteria,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Iamiaceae,Iamia,27093
OTU1209,#00FFFFFF,Others,Acidimicrobineae,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobineae_incertae_sedis,Aciditerrimonas,1704
OTU628,#00FFFFFF,Others,Actinobacteria,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Iamiaceae,Iamia,12875
