Id,Phylum_color,Order_color,Name,Domain,Phylum,Class,Order,Family,Genus,Size
OTU153,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,3544
OTU174,#00FFFFFF,Actinomycetales,Nocardioidaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Nocardioidaceae,Marmoricola,72425
OTU30,#00FFFFFF,Actinomycetales,Terrabacter,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Intrasporangiaceae,Terrabacter,15636
OTU6,#00FFFFFF,Actinomycetales,Arthrobacter,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcaceae,Arthrobacter,51685
OTU52,#00FFFFFF,Actinomycetales,Amycolatopsis,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,34859
OTU150,#00FFFFFF,Actinomycetales,Nonomuraea,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptosporangiaceae,Nonomuraea,1700
OTU217,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,14730
OTU125,#00FFFFFF,Actinomycetales,Actinomycetales,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Thermomonosporaceae,Spirillospora,20574
OTU679,#00FFFFFF,Actinomycetales,Mycobacterium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Mycobacteriaceae,Mycobacterium,30136
OTU627,#00FFFFFF,Actinomycetales,Kineosporia,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Kineosporiaceae,Kineosporia,1717
OTU283,#00FFFFFF,Actinomycetales,Arthrobacter,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcaceae,Arthrobacter,32321
OTU23,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,48991
OTU818,#00FFFFFF,Actinomycetales,Microbacteriaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Microbacteriaceae,Leifsonia,10307
OTU3,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,74635
OTU210,#00FFFFFF,Actinomycetales,Mycobacterium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Mycobacteriaceae,Mycobacterium,57567
OTU11,#00FFFFFF,Actinomycetales,Actinomycetales,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Thermomonosporaceae,Spirillospora,102989
OTU923,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,2783
OTU228,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,4232
OTU2779,#00FFFFFF,Actinomycetales,Mycobacterium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Mycobacteriaceae,Mycobacterium,3218
OTU933,#00FFFFFF,Actinomycetales,Actinobacteria,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Dermatophilaceae,Dermatophilus,4666
OTU473,#00FFFFFF,Actinomycetales,Actinomadura,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Thermomonosporaceae,Actinomadura,821
OTU298,#00FFFFFF,Actinomycetales,Lentzea,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lentzea,23945
OTU639,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,2104
OTU1110,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,1540
OTU571,#00FFFFFF,Actinomycetales,Mycobacterium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Mycobacteriaceae,Mycobacterium,2840
OTU27,#00FFFFFF,Actinomycetales,Pseudonocardiaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lentzea,33769
