Id,Phylum_color,Order_color,Name,Domain,Phylum,Class,Order,Family,Genus,Size
OTU153,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,22709
OTU174,#00FFFFFF,Actinomycetales,Nocardioidaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Nocardioidaceae,Marmoricola,1458
OTU30,#00FFFFFF,Actinomycetales,Terrabacter,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Intrasporangiaceae,Terrabacter,47281
OTU6,#00FFFFFF,Actinomycetales,Arthrobacter,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcaceae,Arthrobacter,17365
OTU52,#00FFFFFF,Actinomycetales,Amycolatopsis,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,73637
OTU150,#00FFFFFF,Actinomycetales,Nonomuraea,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptosporangiaceae,Nonomuraea,32702
OTU217,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,2516
OTU125,#00FFFFFF,Actinomycetales,Actinomycetales,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Thermomonosporaceae,Spirillospora,34385
OTU614,#00FFFFFF,Actinomycetales,Mycobacterium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Mycobacteriaceae,Mycobacterium,1149
OTU627,#00FFFFFF,Actinomycetales,Kineosporia,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Kineosporiaceae,Kineosporia,3590
OTU23,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,90501
OTU3,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,162558
OTU210,#00FFFFFF,Actinomycetales,Mycobacterium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Mycobacteriaceae,Mycobacterium,14461
OTU11,#00FFFFFF,Actinomycetales,Actinomycetales,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Thermomonosporaceae,Spirillospora,177104
OTU228,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,11939
OTU933,#00FFFFFF,Actinomycetales,Actinobacteria,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Dermatophilaceae,Dermatophilus,827
OTU473,#00FFFFFF,Actinomycetales,Actinomadura,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Thermomonosporaceae,Actinomadura,10728
OTU298,#00FFFFFF,Actinomycetales,Lentzea,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lentzea,3654
OTU639,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,4498
OTU1110,#00FFFFFF,Actinomycetales,Micromonosporaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,1539
OTU571,#00FFFFFF,Actinomycetales,Mycobacterium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Mycobacteriaceae,Mycobacterium,9261
OTU27,#00FFFFFF,Actinomycetales,Pseudonocardiaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lentzea,103954
OTU227,#00FFFFFF,Actinomycetales,Actinomycetales,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Thermomonosporaceae,Actinocorallia,25252
OTU353,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,11801
OTU65,#00FFFFFF,Actinomycetales,Pseudonocardiaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lentzea,45514
OTU237,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,15964
