Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,corrected p-value(BH method)
Molecular function,peroxidase activity,GO:0004601,5,6.67E-07,14.07257143,7,1.75E+02,7.00E+01,24627,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr2g029750,",9.54E-05
Molecular function,"oxidoreductase activity, acting on peroxide as acceptor",GO:0016684,4,7.48E-07,13.83539326,7,1.78E+02,7.00E+01,24627,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr2g029750,",5.35E-05
Molecular function,antioxidant activity,GO:0016209,2,1.29E-06,12.76010363,7,1.93E+02,7.00E+01,24627,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr2g029750,",6.13E-05
Molecular function,structural constituent of ribosome,GO:0003735,3,2.34E-06,7.741634649,9,4.09E+02,7.00E+01,24627,"Medtr4g034720,Medtr4g051350,Medtr4g034750,Medtr4g051380,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g051410,Medtr4g034810,",8.37E-05
Molecular function,structural molecule activity,GO:0005198,2,7.09E-06,6.751233628,9,4.69E+02,7.00E+01,24627,"Medtr4g034720,Medtr4g051350,Medtr4g034750,Medtr4g051380,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g051410,Medtr4g034810,",2.03E-04
Molecular function,tetrapyrrole binding,GO:0046906,4,2.99E-05,4.976156799,10,7.07E+02,7.00E+01,24627,"Medtr4g050860,Medtr2g084020,Medtr1g022970,Medtr4g050850,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr4g051370,Medtr7g072510,Medtr2g029750,",7.13E-04
Molecular function,cofactor binding,GO:0048037,3,8.48E-05,3.433622909,13,1.33E+03,7.00E+01,24627,"Medtr4g050860,Medtr2g084020,Medtr1g022970,Medtr4g050850,Medtr2g029560,Medtr2g084010,Medtr2g043850,Medtr1g054205,Medtr4g051370,Medtr4g006100,Medtr4g035040,Medtr7g072510,Medtr2g029750,",0.001733036
Molecular function,heme binding,GO:0020037,5,1.05E-04,4.782973673,9,6.62E+02,7.00E+01,24627,"Medtr4g050860,Medtr2g084020,Medtr1g022970,Medtr4g050850,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr2g029750,",0.001869296
Molecular function,phosphoric ester hydrolase activity,GO:0042578,5,1.55E-04,7.458960121,6,2.83E+02,7.00E+01,24627,"Medtr8g015950,Medtr8g087820,Medtr7g104330,Medtr6g013050,Medtr0200s0050,Medtr4g109600,",0.002456164
Molecular function,"hydrolase activity, acting on ester bonds",GO:0016788,4,0.003579314,3.176652693,8,8.86E+02,7.00E+01,24627,"Medtr8g015950,Medtr8g087820,Medtr7g104330,Medtr7g087190,Medtr6g013050,Medtr0200s0050,Medtr4g109600,Medtr8g079120,",0.03412279
