Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,corrected p-value(BH method)
Molecular function,oxidoreductase activity,GO:0016491,3,1.75E-04,2.468546558,19,2.23E+03,85,24627,"Medtr0212s0040,Medtr5g017850,Medtr8g088830,Medtr3g019090,Medtr0082s0090,Medtr0082s0060,Medtr1g038680,Medtr4g125940,Medtr6g092620,Medtr2g008710,Medtr0212s0080,Medtr1g088920,Medtr1g088910,Medtr3g064370,Medtr0082s0160,Medtr1g015890,Medtr6g086870,Medtr7g072480,Medtr8g072210,",0.006724205
Molecular function,electron transfer activity,GO:0009055,4,1.98E-04,7.153812636,6,2.43E+02,85,24627,"Medtr0212s0040,Medtr8g088830,Medtr1g088920,Medtr1g088910,Medtr0082s0160,Medtr1g015890,",0.006335366
Molecular function,peroxidase activity,GO:0004601,5,3.55E-04,8.277983193,5,1.75E+02,85,24627,"Medtr5g017850,Medtr1g038680,Medtr4g125940,Medtr2g008710,Medtr7g072480,",0.009726958
Molecular function,"oxidoreductase activity, acting on peroxide as acceptor",GO:0016684,4,3.83E-04,8.138466623,5,1.78E+02,85,24627,"Medtr5g017850,Medtr1g038680,Medtr4g125940,Medtr2g008710,Medtr7g072480,",0.00920061
Molecular function,antioxidant activity,GO:0016209,2,5.54E-04,7.50594331,5,1.93E+02,85,24627,"Medtr5g017850,Medtr1g038680,Medtr4g125940,Medtr2g008710,Medtr7g072480,",0.010641685
Molecular function,transmembrane transporter activity,GO:0022857,3,0.036458356,2.245964432,7,9.03E+02,85,24627,"Medtr0212s0040,Medtr4g011600,Medtr1g096910,Medtr6g092970,Medtr4g091370,Medtr0082s0160,Medtr8g094290,",0.132075555
Molecular function,ion transmembrane transporter activity,GO:0015075,4,0.036774582,2.728148887,5,5.31E+02,85,24627,"Medtr0212s0040,Medtr4g011600,Medtr6g092970,Medtr0082s0160,Medtr8g094290,",0.130754071
Molecular function,"transferase activity, transferring hexosyl groups",GO:0016758,5,0.037278613,2.71791193,5,533,85,24627,"Medtr4g097670,Medtr4g097700,Medtr2g087900,Medtr4g097640,Medtr3g084520,",0.130136249
Molecular function,"hydrolase activity, hydrolyzing O-glycosyl compounds",GO:0004553,5,0.045926385,2.563977095,5,565,85,24627,"Medtr4g097670,Medtr7g109390,Medtr5g062190,Medtr4g097700,Medtr4g097640,",0.135659474
Molecular function,transporter activity,GO:0005215,2,0.047364746,1.992979617,8,1163,85,24627,"Medtr0212s0040,Medtr8g013680,Medtr4g011600,Medtr1g096910,Medtr6g092970,Medtr4g091370,Medtr0082s0160,Medtr8g094290,",0.137788351
Cellular component,plant-type cell wall,GO:0009505,5,1.14E-04,10.49032183,5,134,64,17993,"Medtr3g009050,Medtr2g008710,Medtr3g100500,Medtr7g109390,Medtr7g092740,",0.009456808
