Feature ID,OTU_ID,Immediate_annotated_taxa,rank,threshold,min,max,mean
0011518bede409c68530f75210046a16,OTU1264,Niastella,genus,0.97,3,3,3
00164c7536c8ab4acb8a26a2796f4e02,OTU5169,Acidobacteria_Gp4,class,0.97,1,1,1
001fdaf995f2165ee3d8f93ede6e8945,OTU1708,Verrucomicrobia,phylum,1,1,3,1.52
0024c4062593504ea307e0c1e89225ee,OTU3441,Flavobacterium,genus,1,1,13,4.74
00267656f96dff8ef081ae550bae44d4,OTU1520,Gp6,genus,1,1,1,1
002d2f34e2366cea05d8e866f2c93ba4,OTU1165,Chloroflexia,class,0.85,2,3,2.5
0035bd41ce8254fa4ee4212106c27ee2,OTU3602,Nocardioides,genus,1,2,3,2.5
003e3a94bff2f3cd94abbd346389c71c,OTU3207,Sphingomonadaceae,family,0.87,1,5,2.23
004b7368a1b5dc2034cd6c4531fce3fc,OTU4936,Bacteria,domain,1,1,21,1.8
00576b86f626b8a87974040b34663a76,OTU4684,Burkholderiales,order,1,1,9,3.48
005c5944b18382ce25c9cb937c11a821,OTU4586,Dokdonella,genus,0.92,2,2,2
006589252249d558895cad1ce7bebd0d,OTU5005,Xanthomonadaceae,family,0.82,1,4,2.15
006f58c700eac5e6a1814f852b24a35e,OTU1944,Microbacteriaceae,family,1,1,4,1.85
0071a1a99202f18d3435f11990e9d5dc,OTU3431,Saccharibacteria_genera_incertae_sedis,genus,1,1,1,1
007c40db1d61d4060c6deeb2b3a705e8,OTU3728,Bacteria,domain,1,1,21,1.8
0087467b4fbb7dd9fdeb2328972de33d,OTU655,Pseudomonas,genus,1,1,9,4.89
008f51c563efdb7101d68e5fe1e241ad,OTU956,Bacteria,domain,1,1,21,1.8
00976137d6fe63f243c4c1bafec62802,OTU134,Agromyces,genus,0.96,2,3,2.5
009a9f3f0ee682064b295dfba903d63f,OTU1995,Microbacterium,genus,1,1,3,2
009d727f533b5b667bdbac082441ebc3,OTU2559,Opitutus,genus,1,1,2,1.2
00a1b1d98dfd48ccadee06bc1fb83ec5,OTU2382,Armatimonadetes,phylum,1,2,2,2
00a80bd1a5351efd93beac2f19324204,OTU4247,Alphaproteobacteria,class,0.99,1,11,2.03
00a89991422d145b4717b4d9df9f97b2,OTU787,WPS-1_genera_incertae_sedis,genus,0.99,1,1,1
00add1944b7ffda5408239393635a6c0,OTU2987,Verrucomicrobia,phylum,1,1,3,1.52
00b8a7c62486fa6db99f0a2b389eda29,OTU3583,Saccharibacteria_genera_incertae_sedis,genus,0.99,1,1,1
00eb72fd2d45e3dbcd5bd256bab84131,OTU158,Rhizobiales,order,1,1,11,2.2
010dbf1a651f62e3e8ec42a3dec64950,OTU3226,Promicromonosporaceae,family,0.97,3,4,3.17
011ec61451eefa2c02f0aa0626f8dbe4,OTU4613,Proteobacteria,phylum,0.95,1,21,1.96
012bd3b2121b46b257b11843e98ef69b,OTU1852,Chitinophagaceae,family,1,1,6,3.38
0147d1a3430bf5c2793e9a776ee9bf1a,OTU153,Streptomyces,genus,1,5,7,6.21
0152330c70c98c1b2512fc1a7ba4cbfa,OTU4854,Ruminococcaceae,family,0.99,2,8,3.14
018314f1fa8a3d8ff3e4b061a74ab833,OTU1149,Betaproteobacteria,class,1,1,10,2.77
018d4a6b744e6bf2564d22fd30d71974,OTU4266,Bacteroidetes,phylum,0.98,1,13,1.29
019f5349929843599037603cb258e229,OTU3533,Sphingomonas,genus,1,1,4,2.18
01a0b0378003e710c0a2890701335017,OTU2098,Betaproteobacteria,class,0.97,1,10,2.77
01a4348094bfcabd5788b6bd90f578eb,OTU1837,Gemmatimonas,genus,1,1,2,1.67
