Feature_ID,OTU_ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27
0011518bede409c68530f75210046a16,OTU1264,Root,rootrank,1,Bacteria,domain,1,Bacteroidetes,phylum,1,Sphingobacteriia,class,1,Sphingobacteriales,order,1,Chitinophagaceae,family,1,Niastella,genus,0.97,,,,,,
00164c7536c8ab4acb8a26a2796f4e02,OTU5169,Root,rootrank,1,Bacteria,domain,1,Acidobacteria,phylum,0.98,Acidobacteria_Gp4,class,0.97,Blastocatella,genus,0.46,,,,,,,,,,,,
001fdaf995f2165ee3d8f93ede6e8945,OTU1708,Root,rootrank,1,Bacteria,domain,1,Verrucomicrobia,phylum,1,Subdivision3,class,0.99,Subdivision3_genera_incertae_sedis,genus,0.99,,,,,,,,,,,,
0024c4062593504ea307e0c1e89225ee,OTU3441,Root,rootrank,1,Bacteria,domain,1,Bacteroidetes,phylum,1,Flavobacteriia,class,1,Flavobacteriales,order,1,Flavobacteriaceae,family,1,Flavobacterium,genus,1,,,,,,
00267656f96dff8ef081ae550bae44d4,OTU1520,Root,rootrank,1,Bacteria,domain,1,Acidobacteria,phylum,1,Acidobacteria_Gp6,class,1,Gp6,genus,1,,,,,,,,,,,,
002d2f34e2366cea05d8e866f2c93ba4,OTU1165,Root,rootrank,1,Bacteria,domain,1,Chloroflexi,phylum,0.94,Chloroflexia,class,0.85,Kallotenuales,order,0.3,Kallotenuaceae,family,0.3,Kallotenue,genus,0.3,,,,,,
0035bd41ce8254fa4ee4212106c27ee2,OTU3602,Root,rootrank,1,Bacteria,domain,1,Actinobacteria,phylum,1,Actinobacteria,class,1,Actinobacteridae,subclass,1,Actinomycetales,order,1,Propionibacterineae,suborder,1,Nocardioidaceae,family,1,Nocardioides,genus,1
003e3a94bff2f3cd94abbd346389c71c,OTU3207,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Alphaproteobacteria,class,1,Sphingomonadales,order,1,Sphingomonadaceae,family,0.87,Sphingopyxis,genus,0.46,,,,,,
004b7368a1b5dc2034cd6c4531fce3fc,OTU4936,Root,rootrank,1,Bacteria,domain,1,Chloroflexi,phylum,0.53,Chloroflexia,class,0.49,Kallotenuales,order,0.24,Kallotenuaceae,family,0.24,Kallotenue,genus,0.24,,,,,,
00576b86f626b8a87974040b34663a76,OTU4684,Root,rootrank,1,Bacteria,domain,1,Proteobacteria,phylum,1,Betaproteobacteria,class,1,Burkholderiales,order,1,Burkholderiales_incertae_sedis,family,0.51,Piscinibacter,genus,0.42,,,,,,
