"","A17","dmi2","dmi3","ipd3","lyk3","nfp","pt4"
"MSTRG.1",31.5735,53.7328,13.4526,32.4062,99.2563,70.2652,15.1541
"MSTRG.10",9.85897,12.3108,9.08325,10.3997,12.5804,11.063,10.1888
"MSTRG.100",0.244051,0.549234,0.443011,0.460974,0.301253,0.385835,0.346227
"MSTRG.1000",0,0,0,0,0,0,0
"MSTRG.10000",7.65407,7.59196,8.86567,9.55455,8.1829,8.824,8.66187
"MSTRG.10001",0,0,0,0,0,0,0
"MSTRG.10002",3.75054,2.52423,2.3049,3.62106,2.79119,4.06973,3.3708
"MSTRG.10003",11.1988,1.12697,3.05135,12.9468,11.3455,1.34915,3.69763
"MSTRG.10004",11.1245,2.01909,3.25431,21.5963,6.50631,1.05347,3.52102
"MSTRG.10005",21.1851,21.368,25.338,23.2473,22.6965,18.5124,19.6764
"MSTRG.10006",26.7775,17.6183,16.8613,23.7832,25.2501,27.9027,21.1751
"MSTRG.10007",1.7894,1.20644,0.788677,1.05487,1.64435,0.860985,1.06255
"MSTRG.10008",0.378846,0.71754,0,0.391493,2.18319,0.16439,2.70934
"MSTRG.10009",0,0,0,0,0,0,0
"MSTRG.1001",0.339575,0.620471,1.25162,0.317243,0.323248,0.418798,1.58744
"MSTRG.10010",0,0.0544697,0.0500591,0.114405,0.0379259,0.0262312,0.0200608
"MSTRG.10011",1.41734,9.27516,11.069,3.26384,4.96586,6.76628,11.4798
"MSTRG.10012",5.21378,8.97513,16.2392,6.59745,6.89641,8.4084,12.8212
"MSTRG.10013",0,0,0,0,0,0,0
"MSTRG.10014",15.9408,18.8624,24.3712,19.4919,17.5415,19.8695,20.7686
"MSTRG.10015",121.724,84.52,108.943,102.508,90.2566,85.163,95.2121
"MSTRG.10016",5.54962,2.23333,2.36578,5.32091,4.75227,4.0584,2.43689
"MSTRG.10017",0.377745,0,0,0.581744,0.182137,0,0
"MSTRG.10018",35.6219,12.0103,25.7981,28.7787,21.6339,9.31323,24.6898
"MSTRG.10019",0,0,0,0,0,0,0
"MSTRG.1002",7.73558,4.79738,5.78702,13.5431,9.97891,7.46744,5.96351
"MSTRG.10020",11.1316,12.5035,15.202,12.9642,11.7426,14.8558,14.5445
"MSTRG.10021",1.87223,1.31384,1.093,1.42251,2.41968,1.60544,1.55128
"MSTRG.10022",5.61008,5.00587,4.38479,4.77313,4.66993,4.33458,4.61376
"MSTRG.10023",0.95991,0.809286,1.28409,0.296961,0.425471,0.509534,1.03462
"MSTRG.10024",31.854,34.6337,24.0947,37.2058,34.9218,27.0645,27.2175
"MSTRG.10025",0.812833,1.33749,1.5083,0.724935,0.54799,0.249284,1.81115
"MSTRG.10026",4.53503,3.30743,2.72271,3.21326,3.90792,2.24848,3.85293
"MSTRG.10027",77.6406,16.7829,37.6894,58.1232,35.9963,16.8218,36.8007
"MSTRG.10028",11.9965,12.1262,14.3215,12.7552,12.1952,11.8682,12.6852
"MSTRG.10029",15.0076,13.7451,12.2653,12.0992,13.5599,12.0379,12.2507
"MSTRG.1003",14.6602,16.0993,10.6673,16.0994,10.8504,7.67502,12.4569
"MSTRG.10030",11.4482,18.5924,36.1373,10.7628,12.1205,19.0393,27.6753
"MSTRG.10031",19.7501,2.18738,2.43028,7.37069,14.4981,4.08291,3.10751
"MSTRG.10032",21.551,29.7842,30.3611,19.1753,28.4532,27.1176,24.8886
"MSTRG.10033",0.79476,1.26337,1.3062,1.06584,1.0157,1.22428,1.30103
"MSTRG.10034",14.0524,14.0656,12.1774,12.2165,15.4287,12.4272,12.9987
"MSTRG.10035",7.9413,7.04141,7.06583,8.29338,8.8874,7.25275,6.72255
"MSTRG.10036",18.7808,23.6179,44.6149,26.7109,22.0562,25.7104,25.8799
"MSTRG.10037",2.27986,3.69679,3.89231,2.87045,2.14944,3.29475,3.74862
"MSTRG.10038",0.544885,0.439573,0.621066,0.438063,0.670423,0.410837,0.356415
"MSTRG.10039",5.88597,7.22375,6.32969,7.38567,8.19578,7.01818,6.80052
"MSTRG.1004",20.3965,18.6933,19.4874,26.5876,14.8545,15.6678,19.9948
"MSTRG.10040",2.74491,2.4516,3.23629,2.88029,2.40572,3.11836,2.62872
"MSTRG.10041",0,0,0,0,0,0,0
"MSTRG.10042",22.5605,14.9911,16.0231,21.412,16.0129,15.4789,15.8549
"MSTRG.10043",2.89537,3.28744,5.4481,12.1836,1.09777,4.43582,7.28996
"MSTRG.10044",5.59995,6.75582,6.52582,6.99831,5.14692,6.58337,5.62864
"MSTRG.10045",7.28942,5.76632,3.5601,6.61443,4.60589,6.43573,4.17771
"MSTRG.10046",12.5063,12.5318,11.5577,15.8742,13.3569,19.7649,13.2865
"MSTRG.10047",0.810456,0.487541,0.255936,1.51766,1.08463,1.88405,4.33276
"MSTRG.10048",1.41054,2.78276,3.14572,4.62959,2.83859,1.7327,4.25414
"MSTRG.10049",1.2538,9.93103,19.3685,1.40981,0.70889,0.654713,13.85
"MSTRG.1005",3.04668,4.55795,5.10894,3.13188,3.09963,3.24624,4.92417
"MSTRG.10050",12.2506,14.3522,11.8807,12.5585,14.7508,18.1255,12.2908
"MSTRG.10051",8.12402,6.06099,3.22928,4.21774,3.90807,4.62426,4.4101
"MSTRG.10052",13.1219,14.179,14.3193,16.2693,14.4236,15.7921,13.2256
"MSTRG.10053",57.736,59.5672,47.7954,54.5254,66.0373,59.1445,52.0835
"MSTRG.10054",3.09066,4.06679,4.56071,2.27661,3.20127,3.23289,3.81315
"MSTRG.10055",8.90157,3.66595,3.39537,4.50775,4.03831,4.86213,3.61575
"MSTRG.10056",3.90613,4.21957,2.69004,2.58198,4.66063,3.42837,3.24776
"MSTRG.10057",3.35213,3.51926,6.10594,4.24039,3.05951,4.28475,4.59736
"MSTRG.10058",0.504171,0.437384,0.88598,0.543447,0.193114,0.609986,0.473883
"MSTRG.10059",0.255004,0.238643,0.760559,0.321887,0.251639,0.181998,0.635792
"MSTRG.1006",33.7684,184.473,463.4,8.12253,13.7876,8.15822,303.445
"MSTRG.10060",0.151766,0.28858,0,0,0.100873,0,27.9391
"MSTRG.10061",0.0375078,0.042025,0,0,0,0.0623858,12.8495
"MSTRG.10062",20.8608,21.1203,21.265,21.1788,20.6459,19.9992,19.2324
"MSTRG.10063",0,0,0,0,0,0,0
"MSTRG.10064",0,0.244191,0,0,0,0.051656,14.4327
"MSTRG.10065",14.6033,14.5726,10.2916,11.1058,14.3511,16.2717,12.1606
"MSTRG.10066",42.5849,45.9418,49.1993,47.2397,45.2419,39.1214,54.7212
"MSTRG.10067",32.9672,38.087,38.4212,28.7426,33.5956,27.1458,39.5316
"MSTRG.10068",10.9555,11.2278,13.3816,12.5226,11.3373,13.306,11.9587
"MSTRG.10069",68.6517,64.4657,56.4701,60.8379,64.056,52.0396,48.2467
"MSTRG.1007",45.448,49.5157,51.2048,32.2683,13.9698,34.9199,37.3729
"MSTRG.10070",80.513,110.107,70.7304,73.1048,75.8285,85.7738,76.568
"MSTRG.10071",0,0,0,0,0,0,0
"MSTRG.10072",0,0,0,0.0159433,0,0,0
"MSTRG.10073",28.564,28.4665,32.7875,31.6666,27.4881,31.7499,32.3206
"MSTRG.10074",2.61244,2.55166,3.35231,4.18859,2.23624,1.61213,2.47555
"MSTRG.10075",41.64,40.6861,44.6369,40.9722,41.326,37.8297,40.8535
"MSTRG.10076",0,0,0,0,0,0,0
"MSTRG.10077",36.0746,43.6361,41.0594,42.4048,47.7487,59.1334,40.2942
"MSTRG.10078",95.3466,122.742,126.281,115.832,119.945,158.84,125.083
"MSTRG.10079",55.1611,54.681,46.1185,53.0679,62.6621,52.5877,47.1744
"MSTRG.1008",67.8572,110.619,257.123,75.4814,53.4144,45.7595,180.727
"MSTRG.10080",62.7933,71.3245,52.2801,64.9353,62.0013,61.4237,53.669
"MSTRG.10081",2119.09,1395.51,746.002,1206.14,2791.27,1648.79,1001.41
"MSTRG.10082",0.149797,0.0920358,0.0258114,0.136217,0.202488,0.0240068,0.0201046
"MSTRG.10083",0.809505,1.09644,1.76462,0.856209,1.02147,1.19516,1.40408
"MSTRG.10084",47.706,118.626,71.815,67.3014,59.1594,43.902,120.012
"MSTRG.10085",3.76079,1.55117,1.00443,3.54373,2.16247,0.721464,1.46565
"MSTRG.10086",9.66025,10.9373,10.3655,9.94289,10.0611,12.3689,11.9475
"MSTRG.10087",24.9595,23.0942,25.1757,24.969,27.6065,25.5186,25.0407
"MSTRG.10088",0,0,0,0,0,0,0
"MSTRG.10089",63.7155,26.4752,57.8288,86.8659,94.5916,134.045,48.9587
"MSTRG.1009",0,0,0,0,0,0,0
"MSTRG.10090",0.0374803,0.0154708,3.24009,0.0906307,0.0727336,0.0245602,0.426932
"MSTRG.10091",51.9335,41.1273,39.8659,40.9272,48.9899,40.902,35.9406
"MSTRG.10092",1.64732,1.5543,2.70962,2.82278,1.61826,1.45743,1.70211
"MSTRG.10093",7.82697,7.5539,8.18541,7.85857,6.86793,7.8861,9.00796
"MSTRG.10094",13.2348,19.3518,22.6588,27.8571,18.5917,25.6169,22.5507
"MSTRG.10095",3.73806,4.95843,4.0115,4.33179,4.41285,4.57413,3.74461
"MSTRG.10096",12.8412,13.0256,14.9146,13.5131,12.6801,13.9454,13.1106
"MSTRG.10097",14.567,17.7046,18.9062,17.1621,18.0397,16.2027,15.878
"MSTRG.10098",19.4406,38.1253,117.719,23.9019,15.154,38.6186,69.8946
"MSTRG.10099",7.66486,7.04676,9.82726,8.1818,6.82031,7.35298,8.15976
"MSTRG.101",0.263447,0.0844553,0.16988,0.0846198,0.0321196,0.081156,0.155169
"MSTRG.1010",19.1239,25.995,22.1751,21.1142,20.1856,20.6867,25.0087
"MSTRG.10100",3.50895,4.01112,5.13246,5.36571,5.19285,4.56883,6.03265
"MSTRG.10101",1.77875,1.94947,2.31425,2.15643,1.77351,1.84764,2.02848
"MSTRG.10102",0.944315,1.59538,0.858949,1.26745,1.39448,1.33481,0.997623
"MSTRG.10103",0,0,2.7136,0,0,0.156673,0
"MSTRG.10104",59.9987,36.2269,50.3533,65.7388,46.131,43.5473,50.9281
"MSTRG.10105",37.1309,52.6572,44.4738,40.9622,35.9677,44.5036,37.662
"MSTRG.10106",0,0,1.1426,0,0,0,0
"MSTRG.10107",1.63893,0.918647,0.923188,1.05552,1.01057,1.35379,0.984172
"MSTRG.10108",6.84642,6.83914,7.12688,7.66268,7.15367,6.83397,6.77873
"MSTRG.10109",2.1558,3.46601,4.17883,1.94633,2.30449,2.4686,3.70158
"MSTRG.1011",6.08748,7.72518,7.21602,6.56274,5.52722,6.569,6.6206
"MSTRG.10110",3.25457,5.79623,8.84948,4.64482,4.58125,5.25513,5.60868
"MSTRG.10111",58.6802,54.7173,60.1549,68.7801,43.7332,83.5244,62.1299
"MSTRG.10112",16.9975,7.65338,10.7012,24.5189,18.1965,7.6001,31.8558
"MSTRG.10113",14.3171,53.7415,21.1805,14.6563,13.1245,12.1847,40.7607
"MSTRG.10114",9.43636,9.96289,9.48456,8.9502,8.59526,8.68058,8.57578
"MSTRG.10115",6.275,4.60647,3.80551,4.0032,3.86218,4.75921,3.74066
"MSTRG.10116",161.364,147.239,73.2546,88.0139,155.465,107.566,97.0345
"MSTRG.10117",425.909,422.582,299.686,378.992,419.827,416.473,295.268
"MSTRG.10118",50.0788,59.0598,54.9743,54.0922,50.81,53.3806,49.5777
"MSTRG.10119",11.3677,11.0492,14.0393,13.0164,11.937,11.1475,11.4732
"MSTRG.1012",0.00983024,0.0948579,0.0158039,0,0.0133249,0.00706702,0
