"","Group.1","SUM","CK_1","CK_2","CK_3","CK_4","CK_5","R_A17_1","R_A17_2","R_A17_3","R_A17_4","R_A17_5","R_dmi2_1","R_dmi2_2","R_dmi2_3","R_dmi2_4","R_dmi2_5","R_dmi3_1","R_dmi3_2","R_dmi3_3","R_dmi3_4","R_dmi3_5","R_ipd3_1","R_ipd3_2","R_ipd3_3","R_ipd3_4","R_ipd3_5","R_lyk3_1","R_lyk3_2","R_lyk3_3","R_lyk3_4","R_lyk3_5","R_nfp_1","R_nfp_2","R_nfp_3","R_nfp_4","R_nfp_5","R_pt4_1","R_pt4_2","R_pt4_3","R_pt4_4","R_pt4_5","RS_A17_1","RS_A17_2","RS_A17_3","RS_A17_4","RS_A17_5","RS_dmi2_1","RS_dmi2_2","RS_dmi2_3","RS_dmi2_4","RS_dmi2_5","RS_dmi3_1","RS_dmi3_2","RS_dmi3_3","RS_dmi3_4","RS_dmi3_5","RS_ipd3_1","RS_ipd3_2","RS_ipd3_3","RS_ipd3_4","RS_ipd3_5","RS_lyk3_1","RS_lyk3_2","RS_lyk3_3","RS_lyk3_4","RS_lyk3_5","RS_nfp_1","RS_nfp_2","RS_nfp_3","RS_nfp_4","RS_nfp_5","RS_pt4_1","RS_pt4_2","RS_pt4_3","RS_pt4_4","RS_pt4_5"
"1","Acidobacteria",64174,983,2653,2190,1736,907,105,108,88,154,89,395,235,116,107,162,951,105,337,75,58,8,68,42,62,30,25,22,66,35,18,53,78,30,52,64,6,0,22,353,29,668,574,1294,1516,1008,1025,1973,1381,1508,2610,2042,1846,1449,1169,989,1548,2249,1457,1194,1793,2926,1803,402,692,1066,1949,651,1219,780,1010,880,1867,1941,2812,2266
"2","Actinobacteria",337482,640,1813,703,951,820,8503,9821,3817,10515,5483,4695,5632,6890,4541,12977,3812,786,1078,2322,3830,2481,10890,8491,17657,11714,11232,6250,7661,3971,6096,5739,8221,8819,11603,5390,2417,4398,1405,3350,2045,1721,1750,5147,2720,3041,1314,4156,1868,8961,4257,4632,2897,2838,2490,1717,3111,4489,3682,1733,3112,6821,2710,1606,1295,2277,2171,2350,1991,1250,1695,3596,4618,2521,3117,4369
"3","Bacteroidetes",77938,99,336,313,181,76,533,757,254,698,143,895,656,257,351,989,812,127,309,455,564,46,221,168,791,349,53,80,190,208,463,297,142,102,923,216,170,338,59,488,68,1894,353,2359,931,914,666,3302,1040,7257,5667,1874,2083,868,726,419,643,848,589,634,891,3033,1787,2932,316,731,558,2548,464,428,566,2202,875,1375,1261,10727
"4","Chloroflexi",16708,243,1176,229,367,228,110,137,29,111,16,149,145,75,96,301,497,17,124,135,116,16,92,29,99,35,31,0,31,41,15,69,112,48,172,35,82,68,55,256,41,229,216,488,235,303,99,381,226,365,733,509,330,177,331,227,175,431,367,221,608,1123,368,74,40,199,242,224,307,130,156,147,455,143,424,397
"5","Firmicutes",10334,27,207,70,33,43,88,42,77,270,191,1218,332,9,20,71,175,0,87,26,18,49,173,64,98,0,153,104,85,22,58,69,46,208,138,401,32,199,6,399,0,103,84,175,139,117,70,182,153,129,324,196,109,102,127,96,108,143,131,95,343,393,148,53,26,61,149,79,195,107,146,61,154,67,291,170
"6","Gemmatimonadetes",11686,175,699,584,353,240,0,5,24,60,0,15,27,21,21,47,122,22,53,0,0,0,27,0,4,0,18,19,0,6,0,0,13,0,41,0,29,14,7,55,11,126,83,219,242,181,166,432,288,301,485,533,675,355,246,142,317,361,236,120,95,538,355,35,93,139,127,58,66,91,114,104,441,351,474,385
"7","Verrucomicrobia",20333,218,423,413,397,227,107,58,44,58,15,46,84,43,68,125,164,38,72,50,80,3,44,24,74,13,22,22,34,27,16,28,24,39,77,10,38,21,11,96,10,280,233,423,566,304,188,664,405,435,851,551,590,626,441,198,497,640,490,424,700,1015,865,126,279,435,744,298,403,330,323,270,407,571,766,632
"8","Alphaproteobacteria",449333,603,2869,1799,1092,850,3795,4532,3055,4051,1521,4180,4619,3471,3458,7472,4935,1780,2140,3808,2980,4088,7873,1456,5094,1923,1784,2048,1644,1960,1976,1993,2200,1921,4339,2048,2447,2760,928,2691,754,6228,6138,11735,9521,6481,4398,11290,7545,10357,12386,10423,7291,7708,6979,4735,9781,14355,10726,9503,14489,27757,15794,6503,5453,8227,10056,7830,7965,6552,7046,4270,7770,10432,14045,12627
"9","Betaproteobacteria",68580,264,770,764,507,270,1083,1902,614,1319,459,1931,1486,691,909,2088,338,318,371,497,481,167,962,356,877,288,550,545,983,253,607,817,364,1268,1080,349,667,571,133,941,261,413,486,787,1250,519,535,2163,1066,1001,2424,1384,1444,1449,1215,579,960,1518,833,771,1149,3016,1405,354,469,1059,1057,447,650,522,534,455,1254,1994,2600,1717
"10","Deltaproteobacteria",6764,30,147,82,40,0,46,122,67,134,31,185,172,99,150,775,327,47,119,213,162,0,52,26,131,37,14,32,18,52,42,138,45,50,460,40,62,175,28,119,38,17,26,37,45,15,28,152,32,111,213,111,101,53,26,64,53,63,49,21,48,186,72,25,24,49,16,6,14,13,11,26,190,110,142,108
