"","tax","variable","value","Niche","Genotype","tax","variable","sd"
"1","Alphaproteobacteria","Rhizosphere-A17",3304.032787,"Rhizosphere","A17","Alphaproteobacteria","Rhizosphere-A17",1061.94616080659
"2","Actinobacteria","Rhizosphere-A17",750.23787758,"Rhizosphere","A17","Actinobacteria","Rhizosphere-A17",384.722704798729
"3","Acidobacteria","Rhizosphere-A17",978.56521464,"Rhizosphere","A17","Acidobacteria","Rhizosphere-A17",390.058476962159
"4","Gammaproteobacteria","Rhizosphere-A17",438.32167504,"Rhizosphere","A17","Gammaproteobacteria","Rhizosphere-A17",169.749475891425
"5","Betaproteobacteria","Rhizosphere-A17",248.51506568,"Rhizosphere","A17","Betaproteobacteria","Rhizosphere-A17",125.156258763492
"6","Bacteroidetes","Rhizosphere-A17",322.34070863,"Rhizosphere","A17","Bacteroidetes","Rhizosphere-A17",168.078436458741
"7","Verrucomicrobia","Rhizosphere-A17",289.55497074,"Rhizosphere","A17","Verrucomicrobia","Rhizosphere-A17",109.76030165456
"8","Chloroflexi","Rhizosphere-A17",156.34783626,"Rhizosphere","A17","Chloroflexi","Rhizosphere-A17",62.1982098687162
"9","Gemmatimonadetes","Rhizosphere-A17",101.033932146,"Rhizosphere","A17","Gemmatimonadetes","Rhizosphere-A17",39.0286342351352
"10","Firmicutes","Rhizosphere-A17",57.65212794,"Rhizosphere","A17","Firmicutes","Rhizosphere-A17",13.636995329257
"11","Deltaproteobacteria","Rhizosphere-A17",12.6224121404,"Rhizosphere","A17","Deltaproteobacteria","Rhizosphere-A17",7.59959163933053
"12","Others","Rhizosphere-A17",117.60881226,"Rhizosphere","A17","Others","Rhizosphere-A17",52.4070233613025
"13","Alphaproteobacteria","Rhizosphere-dmi2",4005.2743458,"Rhizosphere","dmi2","Alphaproteobacteria","Rhizosphere-dmi2",1432.75981302289
"14","Actinobacteria","Rhizosphere-dmi2",1119.03093006,"Rhizosphere","dmi2","Actinobacteria","Rhizosphere-dmi2",771.231981159399
"15","Acidobacteria","Rhizosphere-dmi2",1635.68049246,"Rhizosphere","dmi2","Acidobacteria","Rhizosphere-dmi2",587.141459897141
"16","Gammaproteobacteria","Rhizosphere-dmi2",657.95645768,"Rhizosphere","dmi2","Gammaproteobacteria","Rhizosphere-dmi2",303.257485525493
"17","Betaproteobacteria","Rhizosphere-dmi2",514.75549672,"Rhizosphere","dmi2","Betaproteobacteria","Rhizosphere-dmi2",286.581969976156
"18","Bacteroidetes","Rhizosphere-dmi2",787.19910644,"Rhizosphere","dmi2","Bacteroidetes","Rhizosphere-dmi2",584.842900520069
"19","Verrucomicrobia","Rhizosphere-dmi2",416.67017544,"Rhizosphere","dmi2","Verrucomicrobia","Rhizosphere-dmi2",200.713093409309
"20","Chloroflexi","Rhizosphere-dmi2",197.54,"Rhizosphere","dmi2","Chloroflexi","Rhizosphere-dmi2",130.985937513166
"21","Gemmatimonadetes","Rhizosphere-dmi2",197.1776447,"Rhizosphere","dmi2","Gemmatimonadetes","Rhizosphere-dmi2",75.172793347692
"22","Firmicutes","Rhizosphere-dmi2",83.796633972,"Rhizosphere","dmi2","Firmicutes","Rhizosphere-dmi2",46.0889310675732
"23","Deltaproteobacteria","Rhizosphere-dmi2",43.686277886,"Rhizosphere","dmi2","Deltaproteobacteria","Rhizosphere-dmi2",29.4593658315492
"24","Others","Rhizosphere-dmi2",188.8303983,"Rhizosphere","dmi2","Others","Rhizosphere-dmi2",69.4315259043537
