"","tax","variable","value","Niche","Genotype","tax","variable","sd"
"1","Alphaproteobacteria","Rhizosphere-A17",8020.6,"Rhizosphere","A17","Alphaproteobacteria","Rhizosphere-A17",2508.78123797194
"2","Actinobacteria","Rhizosphere-A17",2875.8,"Rhizosphere","A17","Actinobacteria","Rhizosphere-A17",1397.39962072415
"3","Bacteroidetes","Rhizosphere-A17",1290.2,"Rhizosphere","A17","Bacteroidetes","Rhizosphere-A17",814.831700414263
"4","Gammaproteobacteria","Rhizosphere-A17",963.8,"Rhizosphere","A17","Gammaproteobacteria","Rhizosphere-A17",378.593053290733
"5","Betaproteobacteria","Rhizosphere-A17",691,"Rhizosphere","A17","Betaproteobacteria","Rhizosphere-A17",342.997813404109
"6","Acidobacteria","Rhizosphere-A17",1012,"Rhizosphere","A17","Acidobacteria","Rhizosphere-A17",401.165801134643
"7","Verrucomicrobia","Rhizosphere-A17",361.2,"Rhizosphere","A17","Verrucomicrobia","Rhizosphere-A17",134.222576342432
"8","Chloroflexi","Rhizosphere-A17",294.2,"Rhizosphere","A17","Chloroflexi","Rhizosphere-A17",113.475548026877
"9","Firmicutes","Rhizosphere-A17",123.6,"Rhizosphere","A17","Firmicutes","Rhizosphere-A17",35.0542436803306
"10","Gemmatimonadetes","Rhizosphere-A17",170.2,"Rhizosphere","A17","Gemmatimonadetes","Rhizosphere-A17",65.5949693193007
"11","Deltaproteobacteria","Rhizosphere-A17",28,"Rhizosphere","A17","Deltaproteobacteria","Rhizosphere-A17",12.8840987267251
"12","Others","Rhizosphere-A17",144.4,"Rhizosphere","A17","Others","Rhizosphere-A17",63.6341103497173
"13","Alphaproteobacteria","Rhizosphere-dmi2",9195.2,"Rhizosphere","dmi2","Alphaproteobacteria","Rhizosphere-dmi2",3227.05201383554
"14","Actinobacteria","Rhizosphere-dmi2",4111.2,"Rhizosphere","dmi2","Actinobacteria","Rhizosphere-dmi2",3016.62471978203
"15","Bacteroidetes","Rhizosphere-dmi2",3586.4,"Rhizosphere","dmi2","Bacteroidetes","Rhizosphere-dmi2",2867.75056446686
"16","Gammaproteobacteria","Rhizosphere-dmi2",1716,"Rhizosphere","dmi2","Gammaproteobacteria","Rhizosphere-dmi2",872.526217371146
"17","Betaproteobacteria","Rhizosphere-dmi2",1437.8,"Rhizosphere","dmi2","Betaproteobacteria","Rhizosphere-dmi2",812.801144192108
"18","Acidobacteria","Rhizosphere-dmi2",1699.4,"Rhizosphere","dmi2","Acidobacteria","Rhizosphere-dmi2",611.734664703579
"19","Verrucomicrobia","Rhizosphere-dmi2",508.6,"Rhizosphere","dmi2","Verrucomicrobia","Rhizosphere-dmi2",255.108408328695
"20","Chloroflexi","Rhizosphere-dmi2",360.8,"Rhizosphere","dmi2","Chloroflexi","Rhizosphere-dmi2",237.523051512901
"21","Firmicutes","Rhizosphere-dmi2",171.6,"Rhizosphere","dmi2","Firmicutes","Rhizosphere-dmi2",94.6271631192651
"22","Gemmatimonadetes","Rhizosphere-dmi2",334.4,"Rhizosphere","dmi2","Gemmatimonadetes","Rhizosphere-dmi2",126.326165144043
"23","Deltaproteobacteria","Rhizosphere-dmi2",107.2,"Rhizosphere","dmi2","Deltaproteobacteria","Rhizosphere-dmi2",79.2824066234117
"24","Others","Rhizosphere-dmi2",240.6,"Rhizosphere","dmi2","Others","Rhizosphere-dmi2",97.8994382006352
"25","Alphaproteobacteria","Rhizosphere-dmi3",7427.2,"Rhizosphere","dmi3","Alphaproteobacteria","Rhizosphere-dmi3",2032.30416030672
"26","Actinobacteria","Rhizosphere-dmi3",2914.8,"Rhizosphere","dmi3","Actinobacteria","Rhizosphere-dmi3",1068.89789035249
"27","Bacteroidetes","Rhizosphere-dmi3",1194,"Rhizosphere","dmi3","Bacteroidetes","Rhizosphere-dmi3",738.011856273326
"28","Gammaproteobacteria","Rhizosphere-dmi3",1251.6,"Rhizosphere","dmi3","Gammaproteobacteria","Rhizosphere-dmi3",432.57866336656
"29","Betaproteobacteria","Rhizosphere-dmi3",1214.2,"Rhizosphere","dmi3","Betaproteobacteria","Rhizosphere-dmi3",367.508775405432
"30","Acidobacteria","Rhizosphere-dmi3",1499,"Rhizosphere","dmi3","Acidobacteria","Rhizosphere-dmi3",443.496899650945
