"","Group.1","SUM","CK_1","CK_2","CK_3","CK_4","CK_5","R_A17_1","R_A17_2","R_A17_3","R_A17_4","R_A17_5","R_dmi2_1","R_dmi2_2","R_dmi2_3","R_dmi2_4","R_dmi2_5","R_dmi3_1","R_dmi3_2","R_dmi3_3","R_dmi3_4","R_dmi3_5","R_ipd3_1","R_ipd3_2","R_ipd3_3","R_ipd3_4","R_ipd3_5","R_lyk3_1","R_lyk3_2","R_lyk3_3","R_lyk3_4","R_lyk3_5","R_nfp_1","R_nfp_2","R_nfp_3","R_nfp_4","R_nfp_5","R_pt4_1","R_pt4_2","R_pt4_3","R_pt4_4","R_pt4_5","RS_A17_1","RS_A17_2","RS_A17_3","RS_A17_4","RS_A17_5","RS_dmi2_1","RS_dmi2_2","RS_dmi2_3","RS_dmi2_4","RS_dmi2_5","RS_dmi3_1","RS_dmi3_2","RS_dmi3_3","RS_dmi3_4","RS_dmi3_5","RS_ipd3_1","RS_ipd3_2","RS_ipd3_3","RS_ipd3_4","RS_ipd3_5","RS_lyk3_1","RS_lyk3_2","RS_lyk3_3","RS_lyk3_4","RS_lyk3_5","RS_nfp_1","RS_nfp_2","RS_nfp_3","RS_nfp_4","RS_nfp_5","RS_pt4_1","RS_pt4_2","RS_pt4_3","RS_pt4_4","RS_pt4_5"
"1","Acidobacteria",41923045798.3426,151640061.78244,171245276.30805,283566682.978643,205370309.23297,503820671.160584,25075309.2309028,23269330.9782178,29364090.5075419,24869605.4494827,21184198.3470467,282983723.017538,57850651.0874662,18005077.8073482,16963600.3406864,34949920.1612296,567655583.709821,87039701.6825208,295640089.008078,29091164.9438203,24309982.4889446,1980078.56738645,13831522.9669362,10516199.8382057,7320184.3130671,7535666.48404729,5243491.14437756,3528485.69627988,17321058.4558697,9645741.70758469,7525224.08340048,9969549.78290581,27134447.0628743,6259743.85069162,8163673.02823374,11197094.7429894,1025506.98212947,0,16230290.319747,76677230.4339955,5782455.75947043,672095090.938425,1125865998.21277,669107305.262348,1431490147.96828,889831969.960034,1384202473.06956,988025695.529338,1003517032.74259,699675864.097733,756341053.50925,838878341.551618,724577091.253479,861269614.698146,828148651.973939,987244999.795967,1170174165.26996,1857606607.64968,752744680.797269,1614211550.68267,1401594092.84345,1158903675.35323,1008358834.20972,958359113.467576,1276354077.88014,1450136414.98217,1657618434.47809,930546580.094816,2086089341.77401,952676355.967741,928848851.819371,1652921442.85714,1043606830.85904,706107193.183048,1093257240.60498,1261876307.56152
"2","Actinobacteria",140035747076.092,98728015.8095238,117025136.052203,91026200.0611809,112504126.774513,455493881.313868,2030622422.7654,2116000921.6396,1273667425.76463,1698077281.17734,1305089432.99839,3363566024.22111,1386446242.23238,1069439535.28129,719922515.393058,2799661197.11282,2275397565.82738,651554338.309155,945697376.708333,900662466.660674,1605297119.52858,614071865.710722,2215077722.20493,2126025067.29058,2084717651.86816,2942426573.13766,2355795701.34595,1002410709.17042,2010554982.27906,1094378294.88054,2548542556.24496,1079532947.2471,2859901144.92166,1840156033.97498,1821598041.2807,943005322.88614,413108395.967821,1143757012.47013,1036525359.05657,727673433.297124,407762828.555759,1731550376.50453,3432518287.23404,2661433771.39514,2568372824.85075,2684502996.67507,1774480048.40332,2081213781.3583,1357400302.07325,4157689269.34999,1233618338.99957,1902881722.85362,1137107168.66811,1686875891.31355,1763977881.45005,1713953149.29189,2351687227.4902,3707779484.98863,1902268987.43689,2342905039.64244,2432660801.41039,2701600126.31046,1515614221.13607,3828668498.08191,2388552790.25257,3097524030.87654,1846428743.58745,3359115918.92906,3407222214.49718,1526724929.43548,1558810696.86518,6754438077.85714,2581347801.23571,917102645.035788,1211835995.36477,2432982165.81477
"3","Bacteroidetes",52455091876.8479,15271989.9455357,21688056.1023388,40528023.6403266,21412457.3566634,42216506.0729928,127287045.90544,163100773.615842,84755443.0558594,112720679.245058,34037532.1755918,641190967.343535,161489477.078204,39890560.3145561,55646950.6502892,213367105.181828,484685945.291667,105276591.558859,271076520.781888,176486400.659176,236393622.82353,11385451.7624721,44952449.6425427,42064799.3528226,93391383.7360656,87664920.0977501,11116201.2260804,12830857.0773814,49863653.1305341,57323265.0050748,193565486.145246,55867099.7268496,49398608.755489,21283129.0923515,144905196.251149,37790194.7575892,29056031.1603349,87901289.2712377,43526687.6756852,106001383.716118,13558861.7808272,1905610931.49308,692387974.510639,1219802266.70315,879101139.682369,806851607.682015,899393997.135928,1653553394.13982,755726078.242065,3367074101.96104,1642216379.40112,769861906.007704,817602427.454495,515929624.263624,514316442.543268,418256476.152184,486060715.935777,700422589.278316,304301041.173364,857127406.30889,696497678.038771,1201283269.76977,999410558.36537,6989823185.7884,582843769.667808,994418123.219479,474577263.437031,3642139302.7367,794048773.242938,522750615.83871,520523217.950262,4136060246.78572,489103362.079092,500204734.995719,490255113.941281,5973586562.75924
"4","Chloroflexi",9585483359.87755,37485793.5026786,75908196.3581858,29651493.3342965,43416419.0601959,126649518.218978,26269371.5752315,29517577.2594059,9676802.55362175,17925494.8369648,3808395.20845782,106745758.809147,35695082.5858835,11641214.0995786,15219678.8103355,64937814.6205563,296661225.135417,14092142.17717,108781516.430272,52364096.8988764,48619964.977889,3960157.13477289,18713236.9552667,7261185.60257057,11688681.4031233,8791610.89805517,6501929.01902816,0,8135648.66866609,11299297.4288849,6271020.0695004,12979225.1890661,38962282.9620759,10015590.1611066,27002918.478004,6123411.18757233,14015262.0891027,17684283.0486514,40575725.7993675,55607283.2609145,8175196.07373406,230403856.025298,423670828.595744,252337221.768181,221899858.029384,267479252.874891,133693702.276962,190794622.400749,164225090.079526,169351253.578032,212413023.839954,209103367.213405,129528949.140654,105206847.34408,234488626.008019,226597183.977436,132287131.08672,355993084.880842,189606930.57831,298777849.833225,475275632.152158,444787705.885741,205810344.419953,176414364.170649,73777692.3630137,270710268.838134,205820246.866956,320188070.570259,525372787.468926,158779392.66129,143465763.251309,276113013.75,254333748.281128,52021292.4395547,164843908.256228,221078947.088228
"5","Firmicutes",5705240877.94071,4165088.16696428,13361391.7059051,9063775.25502513,3903928.68933642,23885654.7518248,21015497.2601852,9049184.26930693,25693579.1940991,43602555.0088332,45462717.8009652,872592847.178129,81729430.4725055,1396945.69194943,3170766.4188199,15317557.6015265,104458177.864583,0,76322515.559949,10084937.1805243,7544477.32415519,12127981.225242,35189021.6658819,16024685.467742,11570613.9142028,0,32090165.8035907,16680114.2005958,22307423.7689232,6063037.64476752,24247944.2687349,12979225.1890661,16002366.2165668,43400890.6981286,21665132.2672357,70156796.749043,5469370.57135716,51752534.2159062,4426442.81447646,86669164.144941,0,103631428.692601,164760877.787234,90489782.3963763,131251405.387593,103284067.94179,94530900.5998723,91140738.2596755,111178932.664458,59852908.7988114,93890613.5390794,80519174.8012327,42783804.4131253,60627674.7406562,89969956.2024724,95829646.0873741,81640058.04209,118113714.937263,67679858.0538383,128433917.349124,268124246.427945,155655893.511217,82771551.5601984,126350828.392491,47955500.0359589,82981539.6941016,126724036.294118,112923471.31719,333705842.203389,130687653.959678,134269239.965969,114577509.107143,86082191.7259201,24373612.5416096,113135795.524911,94668566.7632209
"6","Gemmatimonadetes",6538575897.40981,26995941.8229167,45118902.427187,75617782.1276382,41760206.8889623,133315282.335766,0,1077283.84158416,8008388.32023869,9689456.6686296,0,10746217.3297799,6646670.55047485,3259539.94788202,3329304.73976089,10139791.6517148,72822272.5684523,18236889.8763377,46495325.5710034,0,0,0,5491928.23687173,0,472269.955681748,0,3775313.62395184,3047328.55587808,0,1653555.72130023,0,0,4522407.84381237,0,6436742.19533816,0,4956617.08029243,3640881.80413411,5164183.28355587,11946877.2630871,2193345.28807499,126772427.332697,162799438.765958,113241499.11318,228509641.034515,159781335.87576,224173278.565412,216334060.044944,209277990.897803,139656787.197227,140546134.464363,218962858.005393,264945577.787702,211008083.656205,174272513.589041,141748018.170907,239628688.882801,298175182.464,121927072.524472,162232316.651525,74261817.5237747,213086185.010266,198539870.296422,83439226.2969283,171533134.744007,189089082.253772,108013104.760758,82905839.7012279,112946592.745763,111145574.862903,104840365.45288,195345261.428571,246508094.487862,127688626.897089,184283048.380783,214396460.022588
"7","Verrucomicrobia",13874588440.5851,33629230.3851191,27303713.4859801,53476274.0046483,46965445.1414108,126094037.875912,25552934.1686342,12496492.5623762,14682045.2537709,9366474.77967528,3570370.50792921,32955066.4779917,20678530.6014773,6674296.08375841,10780605.8239877,26967530.9886031,97892235.2559523,31500082.5136742,63163461.1530611,19394109.9625468,33531010.3295787,742529.462769918,8949808.9786058,6009257.05040323,8736994.18011233,3265455.47642049,4614272.20705225,3528485.69627989,8922969.50756926,7441000.74585104,6689088.07413376,5266931.96078043,8349060.63473054,8137667.00589911,12088515.8302692,1749546.05359209,6494877.55348662,5461322.70620116,8115145.15987351,20852731.222843,1993950.26188635,281716505.183771,457015291.957447,218726731.163812,534448168.70056,268362022.68636,253882990.182514,332513462.661673,294297174.700035,201829576.182038,246607753.462211,226357476.099384,231582060.584806,372087493.996576,312415359.726696,197648645.055209,375695452.286284,528620822.096842,253153667.529624,573220852.168722,547192339.648866,402012040.493346,483766162.834944,300381214.668942,514599404.23202,591753602.736625,632769684.582708,425964486.740791,689658740.553672,403055381.370968,297047702.116492,507146351.785714,227502935.275646,207721384.496404,297807626.708185,351944318.790327
"8","Alphaproteobacteria",300589477563.99,93020302.3955357,185187598.088125,232939024.054146,129184549.356223,472158291.605839,906293319.345486,976450074.011882,1019401096.59705,654199816.076975,362035569.504022,2994612562.56534,1137073010.0979,538755388.528499,548225513.813961,1612011132.37474,2945720615.78125,1475530180.90369,1877358428.71599,1477055414.74757,1249030134.7768,1011820147.93448,1601405592.9219,364561594.391129,601435788.560706,483036221.627431,374175528.062782,328469941.180964,431451819.718937,540161535.624743,826102377.15552,374892692.779836,765330558.183633,400832264.57262,681195716.721274,358307031.775661,418235930.878468,717773841.386438,684623155.305692,584528122.090316,150343849.746231,6266179979.58759,12039312712.5958,6067986265.26558,8990249141.69263,5721231148.12598,5939241440.54627,5653730411.82272,5482647365.70806,4805399817.28131,3589287466.95999,4281894688.53698,2861804752.07428,4581550165.69586,4944097042.02406,4726597648.16371,7393716738.05261,11856799845.6253,5541482118.20968,12847447542.8287,11326099727.3892,10993742076.8215,8833066792.84983,15503008245.9693,10057743911.3878,11191625033.8258,8552596704.52112,11192288359.6658,13630600170,8002481390.12903,6479870306.85078,8020425637.5,4343237855.26233,3795007851.25479,5460454460.98754,7031647014.81876
"9","Betaproteobacteria",36013861938.7522,40725306.5214286,49701795.2345264,98924632.7834171,59978540.7725322,149979692.627737,258633903.781597,409798773.338614,204881267.85944,213006555.765374,109253337.542634,1383396377.587,365813053.259468,107254385.904118,144111333.735364,450465637.633626,201753509.247024,263605953.667063,325467278.997024,192777453.027715,201605199.606592,41334140.0941921,195675369.032245,89137312.9143145,103545187.783223,72342398.2468539,115356805.176306,87410213.8396608,257978794.880606,69724932.9148265,253767278.81245,153681550.427057,126627419.626746,264578506.755899,169553209.047932,61059157.2703641,114002192.846726,148495965.01147,98119482.3875615,204400209.173908,52042101.8352339,415531845.146062,953259364.340426,406945478.548275,1180318393.77332,458157532.152042,722486168.870453,1083172620.08614,774619230.198116,464440013.237288,702440886.477556,568563969.004622,566787280.482136,861269614.698146,860736195.165386,577972552.964474,725689404.818578,1253822512.41095,430361234.800361,1042342634.48605,898177140.366496,1194550063.18023,785770472.581614,843928174.546076,865043442.956335,1440613943.21399,898975210.489143,638946730.111187,1112352807.34463,637560330.532258,491094343.437173,854635518.75,700954989.768207,725387812.059247,1010835286.47687,956152524.30853
"10","Deltaproteobacteria",2759140639.73754,4627875.74107143,9488524.54477323,10617565.2987437,4732034.77495323,0,10985373.5678241,26285725.7346535,22356750.727333,21639786.5599394,7378765.71638703,132536680.400619,42341753.1363582,15366402.6114438,23780748.1411492,167198692.129339,195187566.638393,38960628.3721759,104395164.961309,82618908.4404495,67900295.9173967,0,10577046.9747159,6510028.47127016,15466841.0485773,9293988.66365832,2936355.04085143,5132342.83095257,4723925.03341902,14330816.2512687,17558856.1946011,25958450.3781322,15654488.6901198,10432906.4178193,72217107.5574524,6998184.21436838,10596905.4820045,45511022.5516764,20656733.1342235,25848698.0783157,7577010.99516814,17104216.3861575,50997414.5531915,19132125.4209481,42491462.1758395,13241547.1720243,37812360.2399489,76117539.6454432,23253110.0997558,51501340.1292097,61724384.8266169,45600144.9129429,39643708.6763821,31502615.3064194,18419046.1516873,63886430.7249159,40064102.5576923,52036112.1751579,25315366.7529624,28390655.4140168,37521760.4330651,73669201.5091255,40267241.299556,59599447.3549488,44266615.4178082,66657302.377229,13607950.2060797,8576466.17598909,23958368.1581921,15877939.266129,10116175.6138743,48836315.3571429,106205301.480031,40016378.7996575,55207157.9537366,60142383.590752
