"","Group.1","SUM","CK_1","CK_2","CK_3","CK_4","CK_5","R_A17_1","R_A17_2","R_A17_3","R_A17_4","R_A17_5","R_dmi2_1","R_dmi2_2","R_dmi2_3","R_dmi2_4","R_dmi2_5","R_dmi3_1","R_dmi3_2","R_dmi3_3","R_dmi3_4","R_dmi3_5","R_ipd3_1","R_ipd3_2","R_ipd3_3","R_ipd3_4","R_ipd3_5","R_lyk3_1","R_lyk3_2","R_lyk3_3","R_lyk3_4","R_lyk3_5","R_nfp_1","R_nfp_2","R_nfp_3","R_nfp_4","R_nfp_5","R_pt4_1","R_pt4_2","R_pt4_3","R_pt4_4","R_pt4_5","RS_A17_1","RS_A17_2","RS_A17_3","RS_A17_4","RS_A17_5","RS_dmi2_1","RS_dmi2_2","RS_dmi2_3","RS_dmi2_4","RS_dmi2_5","RS_dmi3_1","RS_dmi3_2","RS_dmi3_3","RS_dmi3_4","RS_dmi3_5","RS_ipd3_1","RS_ipd3_2","RS_ipd3_3","RS_ipd3_4","RS_ipd3_5","RS_lyk3_1","RS_lyk3_2","RS_lyk3_3","RS_lyk3_4","RS_lyk3_5","RS_nfp_1","RS_nfp_2","RS_nfp_3","RS_nfp_4","RS_nfp_5","RS_pt4_1","RS_pt4_2","RS_pt4_3","RS_pt4_4","RS_pt4_5"
"1","Acidobacteria",40180695367.8196,139768226.291574,155068170.811464,263974729.494151,191385301.756144,461438292.485148,21679694.4392181,22886296.7234323,22418157.6400895,23300472.1625837,18440302.4937307,235242657.509867,51927113.6755848,15412751.8898032,14692869.1813753,33947490.7265017,492128590.464518,76703737.1077215,256089819.929599,27309331.0910113,21100960.0159966,1546936.38077066,12051731.4086908,7370729.35088521,7036084.4178523,6642550.45630835,3646013.89914162,2826798.19986059,14676939.5021543,6295568.91807536,6781992.0751634,8042129.61719858,26101356.2267586,5848948.16048998,7442483.16335973,7608095.40805117,1025506.98212947,0,14455102.3160247,62194452.9437775,3732425.64646852,647070138.577246,1094115204.05585,634257966.446601,1403178601.76855,864465434.528407,1330423956.25508,948485155.254072,975331903.492688,670735358.777377,727752692.067067,798933087.664256,687596467.24272,820743657.01792,796106739.034655,945484009.967527,1132199836.69144,1799006275.91668,716683753.652639,1578926789.95641,1364999124.63068,1122425013.38284,973045203.630494,919951333.245996,1245260553.27203,1395293315.60628,1608867083.03845,883702687.081811,2029305978.13645,915285088.977514,884990899.342335,1578200718.26891,983404417.823452,674279083.216802,1056885431.30224,1223061597.53351
"2","Actinobacteria",38194984314.5296,49514759.3699161,54635960.2060206,46195555.2296872,52153445.0177188,221546715.179204,496055723.947247,532196568.085922,333962761.397139,445740221.993682,343045087.910309,971842450.430338,420194165.341828,288953442.766317,189795440.366814,695898724.879123,926267774.043713,206677937.79552,409745554.300559,230625577.586968,412183741.520467,158893783.428389,540704045.529426,511665849.118146,520367488.112409,733962210.555468,546757491.540295,233919184.346613,450105951.4436,275325532.002837,613926403.170762,269586169.033734,727303392.090678,464535218.49691,467680333.442984,234964382.534008,109089965.790508,263148989.130126,250326471.411454,240567854.426351,87651551.4845648,421996284.865255,887373375.624347,709139419.270343,652167258.308628,721458884.34643,430244574.48093,564189761.229065,391219199.900882,1059880171.52427,384603585.317603,554057462.769173,335869491.263716,437306686.326523,494647559.628975,490582114.495502,636178204.325951,1032325711.56491,563786226.677244,666929957.671345,785305360.303755,889683798.079805,451517927.380224,994581922.48527,574065428.24257,822076319.701226,624672378.2113,916734395.714267,952393025.985899,424549022.881529,515415365.425732,1734099989.70642,776202789.221747,272137548.461544,358912437.077161,640966801.602289
"3","Bacteroidetes",12692500532.7867,4746262.10262657,7828358.10074465,14186367.8802925,8719030.74140421,13937041.9803241,43266682.4435128,52953432.3424316,30268819.4275948,38596089.4728522,12211985.5108034,191805875.169944,51317063.5533673,13835339.1670289,18648734.8232845,71990606.6994437,148601211.984333,32420839.064228,86361313.67646,57239819.1684269,78908126.5586209,3937767.77055059,15903178.5226513,14961631.208475,32528576.190909,28762195.3191388,3548095.67436214,3938563.15339785,17317238.1153778,20232945.406515,51244817.4111199,18188805.6458381,16286812.5866718,6757044.76207143,47515051.3932648,13399802.3401607,9162739.2022576,29077164.0906584,14481248.8131722,37721951.4974084,4854416.45542518,419336437.048027,195774194.124137,282258967.07679,263810396.482759,238223889.204967,211090348.999928,379250067.208703,202247211.21481,689769207.323251,364371413.906843,180191480.256341,201858379.447212,131128653.157645,153008133.727579,113007278.590473,157038677.804954,207560425.82556,91850005.7008482,248312434.559657,202166400.206475,336863186.6633,269262854.560278,1410596561.79733,168119473.462499,268624522.399354,145372096.9876,773720225.229595,250732592.790907,143432645.264101,130993409.018928,857890438.434713,139548108.455888,124340940.089069,148396025.134682,1224690405.20432
"4","Chloroflexi",5195720163.37701,20057826.9034223,40565603.4585837,15484668.7412437,23705418.768667,69737146.227686,14025414.3995606,15638381.4364982,5172084.1234875,10019993.6894893,1983539.17107178,54702226.2890723,19708378.7097803,6948420.57951457,8867484.03883126,37669635.0876451,161400363.93147,7828967.87620558,59985280.1764269,30168615.4972951,27914566.0993742,2250747.2019634,10310360.7475757,4070598.09944469,6359763.97921722,4884228.27669732,3612182.78834898,0,4432324.72271414,6393748.78902758,3483900.03861133,6451991.65195603,21411353.1599444,5391921.27240469,14513196.4946378,3102528.33503664,7867217.79370472,10344727.6657144,21394473.6033029,27823076.7417944,4375613.07469506,118723384.327446,222252834.877541,135536609.075033,118871176.901793,143381434.489372,74274279.0427568,102656181.064916,90862207.6302959,91755738.3180798,117335474.597265,111756271.066764,68527769.132016,57642173.6608059,130319101.500349,123480491.885502,72681666.3579718,191210613.922606,101899865.030098,165987694.351792,258399125.43071,239644249.474328,106902461.222023,96948434.36405,40987606.8683409,149992852.091117,112868894.887292,171341243.121185,289531975.432187,86238709.3591163,78834641.2737784,148481731.100251,136006201.802372,28688829.0624616,90596396.7484444,121043874.264838
"5","Firmicutes",2450121451.37824,2313937.87053572,5881401.69711109,5035430.69723618,2168849.27185356,6890092.71687255,10451068.5633129,4358168.14094102,13957766.9163632,24223641.671574,24979369.9610307,164363749.96434,17372886.3260147,152338.679601901,1761536.89934439,7656210.46447865,51859004.5919546,0,27892696.5205826,5602742.87806908,894955.791714732,5967637.89598791,14890660.7175134,8902603.03763441,6428118.84122379,0,17827869.8908837,8418116.79626897,12393013.2049573,2022958.89323069,4626419.24740348,6439451.3377637,7807917.81581281,23439661.6682297,11531322.3350401,38165502.1801409,2086068.5429191,7327913.59613255,525082.184398156,33181382.1448004,0,41857603.4487792,91533820.9929078,38869725.820568,56485759.684814,57380037.7454388,40729660.0112087,37520545.541884,61766073.7024764,33251615.9993397,45563327.674504,42316471.4332518,23768780.229514,33682041.5225867,40219761.3617958,39481097.5132945,37368287.8838982,53855717.1016464,30479560.2672812,60793787.4631648,139261786.685666,74466421.2938603,38276345.5254267,55957258.9054797,16473865.068237,31102090.3295112,70402242.3856209,62735261.8428831,161806744.65812,58015547.3185485,55581978.873045,63654171.7261904,47823439.8477335,12712273.8712043,52537149.4932945,52593648.2017893
"6","Gemmatimonadetes",3865629861.44265,15965093.6243881,26640455.9961096,44742536.9874522,24944718.2448133,79421123.3021306,0,645080.144661173,4636704.09370662,5613502.59095757,0,6434860.67651492,3937457.4316408,1918257.28010355,1993595.65255143,6071731.52797291,42367069.3454757,10131605.4868543,27196546.4665751,0,0,0,3121444.14340323,0,282796.380647753,0,2260666.84068972,1783130.58685166,0,918642.067389018,0,0,2708028.64898945,0,3800020.78877046,0,2923684.24379559,2180168.74499048,2868990.71308659,6956546.74963646,1313380.41202095,75650561.3791891,95279216.8618791,67809280.9060955,134586138.606036,95104791.564872,131432184.580832,127527265.149489,123242063.696124,82041644.3955299,83307164.0627498,128912459.445916,157393903.823829,124861230.127114,104354798.556312,83281759.197759,141397981.308699,176797704.36303,72250559.259782,95274157.1286844,44468154.2058531,126072053.169604,117555890.141589,49963608.5610349,101757256.333019,110991418.39477,63942879.7940374,49644215.3899569,67632690.2669238,66554236.4448522,61108235.5626704,114373805.759909,145071376.456992,75925348.4888683,109373940.370801,126912048.515674
"7","Verrucomicrobia",11187435253.5817,30093370.9373355,24675939.1446331,51100156.4816517,43525380.3872507,120773120.905494,15604509.4787799,9653975.19791559,8898209.24470965,5840589.15859062,2348927.9657429,10985022.1593306,13170254.6092742,4294314.53451122,6055051.31032537,16502236.5067101,80602966.9196689,11845252.6349897,37183947.8912758,10602113.4461923,21306162.8135864,488506.225506525,6498246.47130828,2837704.71824597,5795663.75437513,2721212.89701708,3320877.72477245,2940404.74689991,3229857.12567587,2480333.58195035,5086494.05637254,2305107.75351198,5199853.55320937,2712555.66863304,7300207.61178595,1166364.03572806,5725747.31688952,4941196.734182,7131491.20110096,12964362.5036754,1196370.15713181,234922617.010702,350719061.488615,175327922.243084,431038472.512522,211795062.398852,223047910.701127,265840331.501785,237834441.897503,171699623.520703,199942064.612568,203276321.668579,198084262.972115,309233467.594907,242780511.044591,161268872.003521,301939574.638285,420261764.964993,203995811.609577,463773333.866315,451536535.913256,326129705.548958,376838191.1774,225285911.001706,446969852.899258,465276562.29691,493516983.606897,322520267.512853,572388833.253048,325401330.22326,242368724.197162,410264592.575188,191458836.883231,182208549.687532,248401517.412671,288983371.576129
"8","Alphaproteobacteria",127663794559.082,45089734.8157329,89134054.8971426,110416983.033722,61934006.7597605,230664086.883739,404407303.346393,438263599.494072,417127336.594818,304559052.525597,160833877.679745,1340752121.83701,519691592.782252,241871984.304171,237449771.444823,747231588.95844,1495164594.29696,676270336.316389,869137377.712121,673447177.719947,562157768.776689,379919286.188498,607259115.261963,168836771.780317,280254949.814703,227797914.359311,171602200.531596,159393968.682774,196116920.221369,232566660.730515,345121075.320348,168196935.942947,339941857.039753,187303410.392264,325627521.205184,152727608.235566,192640802.190344,322970854.479395,315764282.648066,256378959.864898,71071459.1742863,2503446435.31596,4839653966.28628,2483833023.4702,3820253248.88206,2396940953.82238,2575334682.80662,2495611117.25281,2386120219.70244,2024100583.00792,1590817322.63775,1885193908.06125,1248790727.83348,2021917189.45351,2138792864.10694,1974565057.9498,3139530124.77523,5072349829.04306,2364733561.95561,5187484141.90263,4746625507.87482,4636446455.85498,3711318681.64827,6115317068.57003,4134429009.43764,4796991675.76007,3690478961.05882,4619055201.20898,5749358439.81181,3403317594.79868,2682526462.30992,3371442081.94804,1989882814.56579,1688157380.03085,2431170221.25976,3020711140.4338
"9","Betaproteobacteria",12915443641.1512,14361787.5806207,16736011.626552,33389533.1671049,20801821.8891252,52822348.6483809,86179759.2994295,129343402.295144,79750576.2772985,75696517.6266966,35108339.9153123,552678597.460129,150914292.270364,37671413.6113168,47346077.0938679,156521152.936298,70273292.6326654,89861847.6137974,140215741.745629,77049467.8718754,69931450.6654574,11804901.2119888,63658573.3821007,35721322.0109544,33319421.4457383,27327502.4918954,32630731.5162178,28778396.1311375,80421606.7473709,22244995.9089419,76131968.0674926,49937209.8598672,37394651.1015239,76458411.8804785,54510236.6552393,19589317.7931865,34785896.0302211,49856048.1700546,30502481.6004871,85920628.6686,16141168.3199569,141229148.971809,333551755.290468,157333365.646556,417979682.804009,163512174.935492,260609026.903862,372939865.338526,276987424.15523,173352650.649546,255378339.234929,207325337.471957,203920674.954403,293098812.752193,315652937.400146,207713710.766641,259808936.377429,459589386.899278,174122904.701703,361019924.576095,319545732.675203,449863737.059131,296163758.175867,307323679.695122,337174609.444832,511542594.700132,321352244.366151,216853838.423536,387929073.817148,235850792.1781,175694554.2061,281481150.156714,257107913.867076,269403615.522842,358580421.15587,350660964.656558
"10","Deltaproteobacteria",1143011419.80866,1597651.23984508,4172809.45251324,5107805.29644354,2497462.79789198,0,4920531.91058786,11002975.5925048,9422566.0204779,7798174.6203994,2154007.46804035,62477367.5843092,20596003.1815591,5816168.61616933,9131102.90569429,75531023.8074629,65895432.052988,13659868.958375,31427327.3282432,33367767.5460835,28112936.7725501,0,5206670.92026762,2578310.66583196,7051069.76719175,3623922.94458524,1015926.40922315,2220339.72081249,2478602.64099146,5906102.95825523,8918784.09884501,10906154.4991458,6629222.39301107,3780321.06375259,33860999.5083798,2828432.78664055,4224875.11908547,17783907.5173566,8737613.68065926,10118715.3964668,2936922.57323678,9502342.43675417,17159728.3001913,10413213.5725587,19858388.5949211,3310386.79300608,20297961.6011096,31083644.7171715,10819787.7421886,20529788.9118847,23818138.0039806,18945128.2330346,15052934.0891433,13473245.461104,8883422.74715076,24456524.2618819,15763091.5639303,27263566.4571028,12518272.5456421,8868726.80107646,13508035.3857338,30424349.0314728,21825372.3471076,29799723.6774744,18905533.6680222,33356413.4969766,4471858.63667055,5717644.11732606,7639785.76472962,6300769.5500512,4758835.8587634,15016322.4961074,38305419.9256437,16824655.9040015,23129243.2222072,25513286.076664
