"","tax","variable","value","Niche","Genotype","tax","variable","sd"
"1","Alphaproteobacteria","Rhizosphere-A17",3208825525.4,"Rhizosphere","A17","Alphaproteobacteria","Rhizosphere-A17",1085791832.12571
"2","Acidobacteria","Rhizosphere-A17",928617469.1,"Rhizosphere","A17","Acidobacteria","Rhizosphere-A17",325049868.789832
"3","Actinobacteria","Rhizosphere-A17",678427044.48,"Rhizosphere","A17","Actinobacteria","Rhizosphere-A17",168002878.93581
"4","Gammaproteobacteria","Rhizosphere-A17",410135028.64,"Rhizosphere","A17","Gammaproteobacteria","Rhizosphere-A17",96488840.7352531
"5","Bacteroidetes","Rhizosphere-A17",279880776.78,"Rhizosphere","A17","Bacteroidetes","Rhizosphere-A17",84440818.9383228
"6","Betaproteobacteria","Rhizosphere-A17",242721225.52,"Rhizosphere","A17","Betaproteobacteria","Rhizosphere-A17",125331075.462614
"7","Verrucomicrobia","Rhizosphere-A17",280760627.12,"Rhizosphere","A17","Verrucomicrobia","Rhizosphere-A17",106596248.654225
"8","Chloroflexi","Rhizosphere-A17",147753087.94,"Rhizosphere","A17","Chloroflexi","Rhizosphere-A17",42998414.1710493
"9","Gemmatimonadetes","Rhizosphere-A17",93685997.862,"Rhizosphere","A17","Gemmatimonadetes","Rhizosphere-A17",25846925.7554523
"10","Firmicutes","Rhizosphere-A17",57225389.538,"Rhizosphere","A17","Firmicutes","Rhizosphere-A17",20920914.6362422
"11","Deltaproteobacteria","Rhizosphere-A17",12048811.938,"Rhizosphere","A17","Deltaproteobacteria","Rhizosphere-A17",6569450.44312153
"12","Others","Rhizosphere-A17",103888434.654,"Rhizosphere","A17","Others","Rhizosphere-A17",24598978.7812835
"13","Alphaproteobacteria","Rhizosphere-dmi2",2214396785.2,"Rhizosphere","dmi2","Alphaproteobacteria","Rhizosphere-dmi2",407403545.267741
"14","Acidobacteria","Rhizosphere-dmi2",930545813.14,"Rhizosphere","dmi2","Acidobacteria","Rhizosphere-dmi2",260219457.933843
"15","Actinobacteria","Rhizosphere-dmi2",566027458.58,"Rhizosphere","dmi2","Actinobacteria","Rhizosphere-dmi2",285395961.950976
"16","Gammaproteobacteria","Rhizosphere-dmi2",349554684.3,"Rhizosphere","dmi2","Gammaproteobacteria","Rhizosphere-dmi2",75912646.2604107
"17","Bacteroidetes","Rhizosphere-dmi2",369345649.72,"Rhizosphere","dmi2","Bacteroidetes","Rhizosphere-dmi2",197332666.53144
"18","Betaproteobacteria","Rhizosphere-dmi2",267853461.24,"Rhizosphere","dmi2","Betaproteobacteria","Rhizosphere-dmi2",71177762.1663762
"19","Verrucomicrobia","Rhizosphere-dmi2",219672874.44,"Rhizosphere","dmi2","Verrucomicrobia","Rhizosphere-dmi2",35928418.9620203
"20","Chloroflexi","Rhizosphere-dmi2",95376776.138,"Rhizosphere","dmi2","Chloroflexi","Rhizosphere-dmi2",15921548.3088937
"21","Gemmatimonadetes","Rhizosphere-dmi2",109510064.372,"Rhizosphere","dmi2","Gemmatimonadetes","Rhizosphere-dmi2",24672214.9564389
"22","Firmicutes","Rhizosphere-dmi2",43766244.584,"Rhizosphere","dmi2","Firmicutes","Rhizosphere-dmi2",11022821.4685027
"23","Deltaproteobacteria","Rhizosphere-dmi2",21309864.194,"Rhizosphere","dmi2","Deltaproteobacteria","Rhizosphere-dmi2",7305689.41947814
"24","Others","Rhizosphere-dmi2",108446124.502,"Rhizosphere","dmi2","Others","Rhizosphere-dmi2",36414375.8916328
"25","Alphaproteobacteria","Rhizosphere-dmi3",1853851949.4,"Rhizosphere","dmi3","Alphaproteobacteria","Rhizosphere-dmi3",350389177.977042
"26","Acidobacteria","Rhizosphere-dmi3",809772792.18,"Rhizosphere","dmi3","Acidobacteria","Rhizosphere-dmi3",91882001.9174554
"27","Actinobacteria","Rhizosphere-dmi3",462492662.9,"Rhizosphere","dmi3","Actinobacteria","Rhizosphere-dmi3",81967719.6478014
"28","Gammaproteobacteria","Rhizosphere-dmi3",292637160.6,"Rhizosphere","dmi3","Gammaproteobacteria","Rhizosphere-dmi3",76259741.5174653
"29","Bacteroidetes","Rhizosphere-dmi3",155838785.04,"Rhizosphere","dmi3","Bacteroidetes","Rhizosphere-dmi3",35930481.4119014
"30","Betaproteobacteria","Rhizosphere-dmi3",245542294.7,"Rhizosphere","dmi3","Betaproteobacteria","Rhizosphere-dmi3",54316253.17886
"31","Verrucomicrobia","Rhizosphere-dmi3",222928687.06,"Rhizosphere","dmi3","Verrucomicrobia","Rhizosphere-dmi3",56231671.9521831
