"","tax","variable","value","Niche","Genotype","tax","variable","sd"
"1","Alphaproteobacteria","Rhizosphere-A17",7816991849.6,"Rhizosphere","A17","Alphaproteobacteria","Rhizosphere-A17",2695402430.80221
"2","Actinobacteria","Rhizosphere-A17",2615675651.4,"Rhizosphere","A17","Actinobacteria","Rhizosphere-A17",603733790.375346
"3","Bacteroidetes","Rhizosphere-A17",1100750783.98,"Rhizosphere","A17","Bacteroidetes","Rhizosphere-A17",490978254.779229
"4","Gammaproteobacteria","Rhizosphere-A17",902997095.72,"Rhizosphere","A17","Gammaproteobacteria","Rhizosphere-A17",226008637.933003
"5","Acidobacteria","Rhizosphere-A17",957678102.44,"Rhizosphere","A17","Acidobacteria","Rhizosphere-A17",324891859.647172
"6","Betaproteobacteria","Rhizosphere-A17",682842522.82,"Rhizosphere","A17","Betaproteobacteria","Rhizosphere-A17",360092013.608976
"7","Verrucomicrobia","Rhizosphere-A17",352053743.96,"Rhizosphere","A17","Verrucomicrobia","Rhizosphere-A17",136026078.785041
"8","Chloroflexi","Rhizosphere-A17",279158203.46,"Rhizosphere","A17","Chloroflexi","Rhizosphere-A17",82757426.0856847
"9","Firmicutes","Rhizosphere-A17",118683512.44,"Rhizosphere","A17","Firmicutes","Rhizosphere-A17",29747563.1884271
"10","Gemmatimonadetes","Rhizosphere-A17",158220868.42,"Rhizosphere","A17","Gemmatimonadetes","Rhizosphere-A17",44654389.5647079
"11","Deltaproteobacteria","Rhizosphere-A17",28593353.142,"Rhizosphere","A17","Deltaproteobacteria","Rhizosphere-A17",16972716.6529198
"12","Others","Rhizosphere-A17",128273056.664,"Rhizosphere","A17","Others","Rhizosphere-A17",34304588.6593406
"13","Alphaproteobacteria","Rhizosphere-dmi2",5094061300.6,"Rhizosphere","dmi2","Alphaproteobacteria","Rhizosphere-dmi2",938912649.904968
"14","Actinobacteria","Rhizosphere-dmi2",2120880347.8,"Rhizosphere","dmi2","Actinobacteria","Rhizosphere-dmi2",1187465035.09553
"15","Bacteroidetes","Rhizosphere-dmi2",1663592790.06,"Rhizosphere","dmi2","Bacteroidetes","Rhizosphere-dmi2",1038102605.98566
"16","Gammaproteobacteria","Rhizosphere-dmi2",894452544.38,"Rhizosphere","dmi2","Gammaproteobacteria","Rhizosphere-dmi2",249151745.419251
"17","Acidobacteria","Rhizosphere-dmi2",966352423.82,"Rhizosphere","dmi2","Acidobacteria","Rhizosphere-dmi2",270032759.886798
"18","Betaproteobacteria","Rhizosphere-dmi2",749431783.76,"Rhizosphere","dmi2","Betaproteobacteria","Rhizosphere-dmi2",221456470.386817
"19","Verrucomicrobia","Rhizosphere-dmi2",265826191.46,"Rhizosphere","dmi2","Verrucomicrobia","Rhizosphere-dmi2",49662219.5707798
"20","Chloroflexi","Rhizosphere-dmi2",174095538.44,"Rhizosphere","dmi2","Chloroflexi","Rhizosphere-dmi2",29577573.607279
"21","Firmicutes","Rhizosphere-dmi2",90118818.78,"Rhizosphere","dmi2","Firmicutes","Rhizosphere-dmi2",18670102.6132851
"22","Gemmatimonadetes","Rhizosphere-dmi2",185997650.24,"Rhizosphere","dmi2","Gemmatimonadetes","Rhizosphere-dmi2",42228445.653992
"23","Deltaproteobacteria","Rhizosphere-dmi2",50081746.99,"Rhizosphere","dmi2","Deltaproteobacteria","Rhizosphere-dmi2",20528896.5155679
"24","Others","Rhizosphere-dmi2",136857483.158,"Rhizosphere","dmi2","Others","Rhizosphere-dmi2",44863145.7432523
"25","Alphaproteobacteria","Rhizosphere-dmi3",4279188859.4,"Rhizosphere","dmi3","Alphaproteobacteria","Rhizosphere-dmi3",828052671.114243
"26","Actinobacteria","Rhizosphere-dmi3",1640959162.6,"Rhizosphere","dmi3","Actinobacteria","Rhizosphere-dmi3",293700669.123977
"27","Bacteroidetes","Rhizosphere-dmi3",607193375.3,"Rhizosphere","dmi3","Bacteroidetes","Rhizosphere-dmi3",175631267.761643
"28","Gammaproteobacteria","Rhizosphere-dmi3",692642308.54,"Rhizosphere","dmi3","Gammaproteobacteria","Rhizosphere-dmi3",127521900.738203
"29","Acidobacteria","Rhizosphere-dmi3",848023739.88,"Rhizosphere","dmi3","Acidobacteria","Rhizosphere-dmi3",93909191.3593005
"30","Betaproteobacteria","Rhizosphere-dmi3",687065922.48,"Rhizosphere","dmi3","Betaproteobacteria","Rhizosphere-dmi3",158839004.94632
"31","Verrucomicrobia","Rhizosphere-dmi3",268018207.1,"Rhizosphere","dmi3","Verrucomicrobia","Rhizosphere-dmi3",72139808.9998821
"32","Chloroflexi","Rhizosphere-dmi3",180984994.72,"Rhizosphere","dmi3","Chloroflexi","Rhizosphere-dmi3",59421808.9156657
"33","Firmicutes","Rhizosphere-dmi3",73946051.248,"Rhizosphere","dmi3","Firmicutes","Rhizosphere-dmi3",21950671.8983194
"34","Gemmatimonadetes","Rhizosphere-dmi3",202187410.26,"Rhizosphere","dmi3","Gemmatimonadetes","Rhizosphere-dmi3",46717151.7965088
"35","Deltaproteobacteria","Rhizosphere-dmi3",39810389.154,"Rhizosphere","dmi3","Deltaproteobacteria","Rhizosphere-dmi3",16880561.997014
"36","Others","Rhizosphere-dmi3",158940638.38,"Rhizosphere","dmi3","Others","Rhizosphere-dmi3",20741036.2355589
