"","Feature.ID","ID","ID2","ID3","Taxon","Taxon.1","SUM","R_A17_1","R_A17_2","R_A17_3","R_A17_4","R_A17_5","R_dmi2_1","R_dmi2_2","R_dmi2_3","R_dmi2_4","R_dmi2_5","R_dmi3_1","R_dmi3_2","R_dmi3_3","R_dmi3_4","R_dmi3_5","R_ipd3_1","R_ipd3_2","R_ipd3_3","R_ipd3_4","R_ipd3_5","R_lyk3_1","R_lyk3_2","R_lyk3_3","R_lyk3_4","R_lyk3_5","R_nfp_1","R_nfp_2","R_nfp_3","R_nfp_4","R_nfp_5","R_pt4_1","R_pt4_2","R_pt4_3","R_pt4_4","R_pt4_5","RS_A17_1","RS_A17_2","RS_A17_3","RS_A17_4","RS_A17_5","CK_1","CK_2","CK_3","CK_4","CK_5","RS_dmi2_1","RS_dmi2_2","RS_dmi2_3","RS_dmi2_4","RS_dmi2_5","RS_dmi3_1","RS_dmi3_2","RS_dmi3_3","RS_dmi3_4","RS_dmi3_5","RS_ipd3_1","RS_ipd3_2","RS_ipd3_3","RS_ipd3_4","RS_ipd3_5","RS_lyk3_1","RS_lyk3_2","RS_lyk3_3","RS_lyk3_4","RS_lyk3_5","RS_nfp_1","RS_nfp_2","RS_nfp_3","RS_nfp_4","RS_nfp_5","RS_pt4_1","RS_pt4_2","RS_pt4_3","RS_pt4_4","RS_pt4_5"
"pOTU394","000c66b3cefe3fa68ccafe207105892b","pOTU394","","","Bacteria;Proteobacteria;Betaproteobacteria","Unassigned",22199287.5531186,0,0,0,0,0,0,0,0,0,1182572.31724533,0,0,0,5273229.18742423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207582.9469697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495702.11717678,0,0,0,0,2274203.34143725,1642257.81419686,0,0,0,0,0,0,0,0,0,0,0,0,737052.431389589,768926.774977335,0,6677223.56235997,0,0,0,0
"pOTU239","001cd69e66965f3947b33a6c7a2211a5","pOTU239","","","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales","Unassigned",78429413.8210329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3792529.24683544,2398395.25515437,3853709.59835025,4371291.13020372,0,330642.915011914,348320.624873268,0,346362.580624187,2888814.69878744,0,0,1894556.01509059,0,0,0,1847540.92273584,2526892.60159695,1642257.81419686,2648407.10308564,4412605.27372417,0,1290522.40326244,5176329.24735089,2512689.07945123,0,1914962.92206266,0,2451325.66684977,2182462.38172424,3544713.67747392,1289841.75493178,0,1681362.00842755,0,0,0,2630104.54408667,3180859.21634577
"pOTU2434","002330ff69e192b172f608b05d4450db","pOTU2434","","","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae","Unassigned",305785.866787729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU2435","0026ba0e3f4d1cd4aec533fab7ebd0ac","pOTU2435","","","Bacteria;Proteobacteria;Alphaproteobacteria","Unassigned",290267.18739439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290267.18739439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU600","002710f34f991ac87716b3caf4cbd911","pOTU600","rOTU160","","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Rhizobium_etli;","Unassigned",10060607.8873874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU1886","00294859826e8181d53bd5bf6407cea9","pOTU1886","rOTU451","","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium_huanghuaihaiense;","Unassigned",574848.890573013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574848.890573013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU1500","005b379e421cd2e3c75db24a77942a0a","pOTU1500","","","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae","Unassigned",1103015.31209868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103015.31209868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU1012","005d9e39d794d69511061d8948d18f5a","pOTU1012","","","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;Novosphingobium_sp.;","Unassigned",6299158.38666471,0,0,0,0,0,0,0,0,0,0,1339697.0638799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4959461.32278481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pOTU984","006306e5223096da9bda37e32e226cdc","pOTU984","rOTU257","","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium;Rhizobium_arenae;","Unassigned",5707987.55238164,0,0,0,0,0,0,0,0,685578.263414634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5022409.288967
"pOTU533","006ded433eadb619b548e31a9ed0b817","pOTU533","rOTU146","srOTU40","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium","Mesorhizobium_plurifarium",13649183.4940618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4578588.50007048,0,0,0,0,0,0,0,0
