"","Niche","Genotype","MS","RS","Symbiosis","MASS.mg.","Spike.pg.","Cope_per_g","SynSpike_rpoB_reads"
"R_A17_1","Root","A17","M+","R+","M+R+",52.1,500,2063339731,29880
"R_A17_2","Root","A17","M+","R+","M+R+",52,500,2067307692,33239
"R_A17_3","Root","A17","M+","R+","M+R+",53.4,500,2013108614,32377
"R_A17_4","Root","A17","M+","R+","M+R+",56,500,1919642857,18125
"R_A17_5","Root","A17","M+","R+","M+R+",51.9,500,2071290944,22373
"R_dmi2_1","Root","dmi2","M-","R-","M-R-",51.6,500,2083333333,19764
"R_dmi2_2","Root","dmi2","M-","R-","M-R-",51.2,500,2099609375,26010
"R_dmi2_3","Root","dmi2","M-","R-","M-R-",51.2,500,2099609375,18501
"R_dmi2_4","Root","dmi2","M-","R-","M-R-",52.3,500,2055449331,23985
"R_dmi2_5","Root","dmi2","M-","R-","M-R-",52.1,500,2063339731,33151
"R_dmi3_1","Root","dmi3","M-","R-","M-R-",53.6,500,2005597015,28444
"R_dmi3_2","Root","dmi3","M-","R-","M-R-",51.4,500,2091439689,28607
"R_dmi3_3","Root","dmi3","M-","R-","M-R-",52.1,500,2063339731,23934
"R_dmi3_4","Root","dmi3","M-","R-","M-R-",51.9,500,2071290944,24746
"R_dmi3_5","Root","dmi3","M-","R-","M-R-",53.5,500,2009345794,12812
"R_ipd3_1","Root","ipd3","M+","R-","M+R-",53.9,500,1994434137,39446
"R_ipd3_2","Root","ipd3","M+","R-","M+R-",54.1,500,1987060998,24027
"R_ipd3_3","Root","ipd3","M+","R-","M+R-",54.1,500,1987060998,28850
"R_ipd3_4","Root","ipd3","M+","R-","M+R-",56.2,500,1912811388,29437
"R_ipd3_5","Root","ipd3","M+","R-","M+R-",54.4,500,1976102941,23126
"R_lyk3_1","Root","lyk3","M+","R-","M+R-",55.1,500,1950998185,31054
"R_lyk3_2","Root","lyk3","M+","R-","M+R-",51.2,500,2099609375,16738
"R_lyk3_3","Root","lyk3","M+","R-","M+R-",58.5,500,1837606838,26691
"R_lyk3_4","Root","lyk3","M+","R-","M+R-",53.5,500,2009345794,24133
"R_lyk3_5","Root","lyk3","M+","R-","M+R-",51.8,500,2075289575,12898
"R_nfp_1","Root","nfp","M+","R-","M+R-",56.6,500,1899293286,23225
