"","A17","dmi2","dmi3","ipd3","lyk3","nfp","pt4","SD_A17","SD_dmi2","SD_dmi3","SD_ipd3","SD_lyk3","SD_nfp","SD_pt4","Level_A17","Level_dmi2","Level_dmi3","Level_ipd3","Level_lyk3","Level_nfp","Level_pt4","Chisq","p.chisq","Chisq_A17_lyk3","p.chisq_A17_lyk3","Chisq_A17_nfp","p.chisq_A17_nfp","Chisq_A17_ipd3","p.chisq_A17_ipd3","Chisq_A17_dmi2","p.chisq_A17_dmi2","Chisq_A17_dmi3","p.chisq_A17_dmi3","Chisq_A17_pt4","p.chisq_A17_pt4"
"Bradyrhizobium_diazoefficiens","12194440.1936709","14078866.9035643","2362106.2382281","38257760.5945098","17806631.2313014","27860426.2140289","17353122.3619076","27267597.2206038","17631556.3002144","5281830.11875434","35157475.978027","22174825.015583","18350308.663318","14642363.4486878","a","a","a","a","a","a","a","8.4234554973822","0.208691622024418","0.678461538461535","0.410116991679082","2.61290322580645","0.105997548424945","1.67538461538462","0.195538859103995","1.50206896551724","0.220353292030256","0.0222222222222273","0.881497452191","1.50206896551724","0.220353292030256"
"Bradyrhizobium_elkanii","7294891.87577635","3872078.78177486","3173406.32176224","5400275.15766295","4530755.86859265","5811407.35134238","3238799.10623252","3899905.66869902","738155.544150095","2114124.85784818","3133055.63096058","4565753.49171696","1268523.51456954","1992511.14474716","a","a","a","a","a","a","a","9.66516853932584","0.139479232788627","0.537804878048778","0.463343882565218","0.0981818181818157","0.754022530062078","0.0981818181818157","0.754022530062078","1.84363636363636","0.174525340568584","1.84363636363636","0.174525340568584","2.45454545454545","0.117185087198138"
"Bradyrhizobium_huanghuaihaiense","116693.207594937","0","0","0","0","960283.447958666","0","260933.944694773","0","0","0","0","2147259.06730346","0","a","a","a","a","a","a","a","5.15294117647061","0.524352413264382","1","0.317310507862914","0.0222222222222273","0.881497452191","1","0.317310507862914","1","0.317310507862914","1","0.317310507862914","1","0.317310507862914"
"Bradyrhizobium_japonicum","7714696.32238973","0","0","2495009.97964072","6356379.31733103","2757300.6056733","602689.11467604","6971176.70109415","0","0","5579011.91901702","5840293.60458065","4995993.77310983","1347653.82971479","a","a","a","a","a","a","a","12.0292561983471","0.061319308030323","0.011180124223605","0.91579173205058","1.67225806451613","0.195956358136261","2.09793103448276","0.147498607960734","5.53846153846154","0.0186029299011358","5.53846153846154","0.0186029299011358","4.48137931034483","0.0342660560638849"
"Bradyrhizobium_jicamae","2217170.9443038","0","0","7811729.69475716","2024389.37475196","1719847.35621858","953412.897231418","4957744.9492007","0","0","8434015.13040106","4526672.25487368","2363245.15281455","2131896.04883447","a","a","a","a","a","a","a","8.25714285714287","0.219863214201834","0.0222222222222273","0.881497452191","0.148623853211005","0.69985393738163","1.67538461538462","0.195538859103995","1","0.317310507862914","1","0.317310507862914","0.0222222222222273","0.881497452191"
"Bradyrhizobium_lablabi","13177073.8516291","7265367.33980892","2493139.10779099","5428460.12861094","9610296.54655326","7489432.15261226","7232940.13379829","3751963.14281188","6498769.45581129","3476147.4575158","5271221.77959775","7303115.95601446","2265872.8815392","6448049.64463385","a","ab","b","ab","ab","ab","ab","11.177188029362","0.0830521808374116","0.883636363636366","0.347207639349424","3.93818181818182","0.0472017676901423","3.96219512195122","0.0465329850745105","2.45454545454545","0.117185087198138","6.98757763975155","0.00820773610734882","3.15272727272727","0.0758001745823615"
"Bradyrhizobium_yuanmingense","6550993.43904464","521523.585053748","0","3267506.3164632","2666987.65585136","3447254.19333982","657526.136021668","7040940.51080307","1166162.18804957","0","3302902.33365333","3859253.0834905","3570327.91435206","1470273.13712722","a","a","a","a","a","a","a","8.9303035947104","0.177535856535501","1.00551724137931","0.315979169630847","0.569032258064514","0.450643727680423","0.569032258064514","0.450643727680423","2.34","0.126089553952591","3.71559633027523","0.0539063657752321","2.34","0.126089553952591"
"Mesorhizobium_huakuii","0","23039529.6560325","17130186.6843765","0","4869477.14467362","5306777.50600504","26502497.3222397","0","23834103.9673972","12007338.2376869","0","10888481.9103718","11866315.2448941","28309544.3329296","c","a","a","c","bc","bc","ab","18.1411359724613","0.00588900102570211","1","0.317310507862914","1","0.317310507862914",NA,NA,NA,NA,NA,NA,NA,NA
"Mesorhizobium_plurifarium","35688327.6746305","13033330.6360191","15673718.7681245","45605990.0034579","32157834.7427439","32563648.2488688","11042700.0101313","23578637.251484","9301828.69072492","5747892.8161052","14521321.3120099","25248920.3974808","13046715.5174719","7882726.17548698","ab","b","b","a","ab","ab","b","15.8412556053811","0.0146318549213454","0.0109090909090934","0.916814948528079","0.0109090909090934","0.916814948528079","0.534545454545452","0.464702099940466","2.45454545454545","0.117185087198138","1.84363636363636","0.174525340568584","4.81090909090909","0.0282801225682768"
"Mesorhizobium_silamurunense","4200237.77701121","1416190.86494827","1652522.32232956","8887725.43919127","7101053.89386308","6086396.50208599","558897.215618418","4090466.5972955","2075877.80485784","2262882.13320265","2324406.42623248","4350124.91398424","2319304.21523828","1249732.16655814","bc","c","c","a","ab","ab","c","18.987012987013","0.00418562239392961","1.88944099378882","0.169264985486527","0.537804878048778","0.463343882565218","3.17195121951219","0.0749128993044463","1.50206896551724","0.220353292030256","1.50206896551724","0.220353292030256","2.34","0.126089553952591"
