Gene_ID,R_stat,R_padj,M_stat,M_padj,I_stat,I_padj,Category
Medtr0003s0130,43.3027,0,0.0556,0.9192,0.0366,NA,R only
Medtr0003s0170,43.0468,0,1.8797,0.3813,2.2845,NA,R only
Medtr0003s0180,87.6131,0,0.0328,0.9386,0.5063,0.9878,R only
Medtr0003s0190,61.058,0,0.1214,0.8753,0.0091,NA,R only
Medtr0003s0210,93.8248,0,0.0011,0.9894,0.0018,NA,R only
Medtr0003s0590,48.2753,0,4.4398,0.1277,3.7244,NA,R only
Medtr0004s0190,9.1764,0.0261,0.7831,NA,0.0351,NA,R only
Medtr0015s0230,100.7401,0,0.1333,0.8688,2.3785,0.8276,R only
Medtr0017s0100,126.8559,0,0.0402,0.9311,0.086,0.998,R only
Medtr0018s0240,10.6864,0.0132,1.6886,0.4136,0.3652,NA,R only
Medtr0032s0170,83.1661,0,0.0359,0.9354,0.0068,0.9996,R only
Medtr0036s0110,177.4826,0,0.209,0.829,0.0183,0.9996,R only
Medtr0039s0080,32.4236,0,0.6443,0.6627,4.9766,0.5926,R only
Medtr0040s0030,12.5825,0.0054,0.4578,NA,0.5765,NA,R only
Medtr0048s0180,105.5289,0,0.101,0.8869,0.014,0.9996,R only
Medtr0050s0100,101.3072,0,0.0921,0.8924,0.0593,0.998,R only
Medtr0054s0190,132.3299,0,0.0001,0.9963,0.552,0.9826,R only
Medtr0054s0210,29.0783,0,0.0321,0.9393,0.0002,NA,R only
Medtr0054s0240,24.4846,0,0.0252,0.9463,0.0001,NA,R only
Medtr0054s0250,34.3695,0,0.1328,0.8691,0.0178,NA,R only
Medtr0054s0260,20.7509,0.0001,0.0817,0.8996,0.0143,NA,R only
Medtr0062s0020,18.5206,0.0003,0.7415,0.6325,0.1112,0.998,R only
Medtr0093s0090,135.2961,0,0.1682,0.8498,0.2635,0.998,R only
Medtr0094s0040,10.1392,0.017,0.8679,NA,0.2331,NA,R only
Medtr0094s0130,12.8695,0.0047,0.0002,NA,0.0018,NA,R only
Medtr0094s0140,28.6235,0,0.3759,0.7569,0.0365,NA,R only
Medtr0107s0100,73.6234,0,0.0707,0.9073,1.5186,NA,R only
Medtr0110s0050,7.8317,0.0471,0.1588,0.8547,0.2234,0.998,R only
Medtr0111s0050,49.1676,0,0.0867,0.896,0.0143,NA,R only
Medtr0112s0040,86.9371,0,1.9169,0.3755,0.9814,NA,R only
Medtr0112s0050,122.2078,0,0.642,0.6633,0.0068,0.9996,R only
Medtr0115s0030,54.1376,0,0.0035,0.981,2.2949,0.8393,R only
Medtr0117s0080,23.293,0,0.5534,0.6922,0.3334,0.9918,R only
Medtr0135s0070,159.5318,0,0.0021,0.9857,0.2121,0.998,R only
Medtr0135s0090,19.492,0.0002,0.1555,0.8569,0.5913,NA,R only
Medtr0137s0040,10.867,0.0121,0.7034,0.6445,0.0161,NA,R only
Medtr0146s0070,16.7509,0.0007,0.2609,NA,0.4462,NA,R only
Medtr0149s0050,22.6461,0,0.3126,0.783,0.0129,NA,R only
Medtr0149s0080,53.6964,0,0.8159,0.6114,1.4354,0.9198,R only
Medtr0160s0030,78.718,0,0.6861,0.6499,1.0302,0.9505,R only
Medtr0163s0020,9.7535,0.0202,0.1272,0.8724,0.6339,0.9774,R only
Medtr0174s0090,146.3585,0,0.4614,0.7238,0.0087,0.9996,R only
Medtr0176s0070,13.5381,0.0035,1.1242,NA,2.016,NA,R only
Medtr0191s0020,8.3023,0.0385,2.1167,0.3441,1.3291,NA,R only
Medtr0192s0050,45.7039,0,0.8778,0.5945,0.2216,NA,R only
Medtr0240s0020,55.2066,0,0.0479,0.9246,0.0001,NA,R only
Medtr0240s0030,18.6642,0.0003,0.1341,0.8687,0.0238,NA,R only
Medtr0240s0040,157.6363,0,0.2918,0.7917,1.2927,0.9304,R only
Medtr0240s0050,20.6348,0.0001,0.0139,NA,0.0001,NA,R only
Medtr0240s0070,18.743,0.0003,0.0102,NA,0.0042,NA,R only
Medtr0257s0060,105.805,0,0.1646,0.8518,0.0124,0.9996,R only
