,gene_short_name,UniProt_AC,UniProt_ID,EntrezGene,symbol,X,Chromosome,Start,End,Score,Strand,Phase,Note,Cluster.x,gene_id,tss_id,locus,gene_short_names,Cluster.y,A17_FPKM,dmi2_FPKM,dmi3_FPKM,ipd3_FPKM,lyk3_FPKM,nfp_FPKM,pt4_FPKM,A17_1,A17_2,A17_3,A17_4,A17_5,dmi2_1,dmi2_2,dmi2_3,dmi2_4,dmi2_5,dmi3_1,dmi3_2,dmi3_3,dmi3_4,dmi3_5,ipd3_1,ipd3_2,ipd3_3,ipd3_4,ipd3_5,lyk3_1,lyk3_2,lyk3_3,lyk3_4,lyk3_5,nfp_1,nfp_2,nfp_3,nfp_4,nfp_5,pt4_1,pt4_2,pt4_3,pt4_4,pt4_5
MSTRG.30488,Medtr0001s0660,A0A072TLN4,A0A072TLN4_MEDTR,25479300,MTR_0001s0660,47918,scaffold0001,502647,507542,.,-,.,zinc-binding alcohol dehydrogenase family protein,cluster3,MSTRG.30488,TSS58601,scaffold0001:502646-507559,Medtr0001s0660,cluster3,1.37025,5.11169,7.194,2.25195,2.65905,3.88264,7.06641,-1.532802486,-0.847815892,-1.357650745,-1.357192162,-1.251326805,0.555327906,0.940394556,-0.485992737,0.426692563,0.986128077,1.609625666,1.472780737,0.509300012,0.391405413,1.254246973,0.280111601,-0.604225542,-1.691464542,-1.06077944,-0.733307302,0.193199159,-0.765065489,-0.14069692,-1.107358243,-0.592263763,1.032111544,0.301861257,-0.461990477,-0.993032696,0.122723622,1.846422136,1.135684318,0.61637579,-0.000840979,1.30941489
MSTRG.30497,Medtr0002s0900,A0A072TJL5,A0A072TJL5_MEDTR,25479383,MTR_0002s0900,47975,scaffold0002,341926,343403,.,-,.,hypothetical protein,cluster6,MSTRG.30497,TSS58667,scaffold0002:341925-343403,Medtr0002s0900,cluster6,30.8061,14.5887,8.82435,10.7355,8.31659,12.7363,10.9035,1.611183277,1.263315157,2.031585953,1.594047954,2.161099656,-0.832975038,0.806486635,-0.187601957,1.732455748,-1.206141361,-0.774276943,-0.224231921,-0.533546713,-1.243651047,-0.085156363,-1.041456244,0.168608382,-0.190765774,0.299599032,-0.432177913,-0.804747371,-0.111010971,-0.750968963,-0.579443373,-1.05068422,-0.804690278,0.286076487,0.27714449,1.234763094,-1.475458609,-0.771767165,-0.542662727,-0.225283346,0.714126473,-0.311794045
MSTRG.30499,Medtr0002s1060,A0A072TLJ8,A0A072TLJ8_MEDTR,25479387,MTR_0002s1060,47979,scaffold0002,400364,401875,.,-,.,glycoside hydrolase family 18 protein,cluster7,MSTRG.30499,TSS58670,scaffold0002:400363-401875,Medtr0002s1060,cluster7,18.5077,36.7454,14.849,8.78662,54.5238,18.7741,29.2374,-0.339398051,-0.418804034,-1.061782928,1.311692743,-0.61026558,-0.217372764,-0.774504487,0.367992814,-0.729084411,2.155076203,-0.398918258,-0.024965676,0.537285828,-0.773707059,-0.033741715,-1.82681836,-0.222861305,-0.066194059,-0.418394702,-1.001653687,0.033443899,1.820811918,1.499767429,1.637552232,-0.613719001,0.767129007,-1.963408322,0.922531829,-0.710128668,-0.303088628,0.023627965,0.22674813,1.386125353,1.006869377,-1.187843032
MSTRG.30517,Medtr0003s0620,A0A072TLD4,A0A072TLD4_MEDTR,25479429,MTR_0003s0620,48018,scaffold0003,344094,348798,.,-,.,S-adenosylmethionine-dependent methyltransferase putative,cluster3,MSTRG.30517,TSS58709,scaffold0003:344093-348798,Medtr0003s0620,cluster3,4.85454,6.60712,9.81157,5.44604,3.43328,3.86976,7.67631,-0.3358207,0.044612582,-0.478214177,-0.445933644,-0.773750881,0.933150881,0.277861642,-0.226749585,-0.267502881,1.193567753,1.612903773,1.971398704,1.677631348,1.077104277,1.316746597,0.175680989,-0.310964715,-0.149585249,-0.335667122,0.164296536,-1.762731824,-0.845625538,-1.487069049,-1.24150578,-1.058307168,-0.601573849,-1.205532125,-0.86113519,-1.105098122,-1.099674211,0.512683923,1.091193227,1.200460412,1.117981879,0.225167287
MSTRG.30531,Medtr0004s0650,A0A072TKB2,A0A072TKB2_MEDTR,25479454,MTR_0004s0650,48043,scaffold0004,373426,376344,.,+,.,glycerol-3-phosphate transporter,cluster3,MSTRG.30531,"TSS58724,TSS58725",scaffold0004:371066-376344,Medtr0004s0650,cluster3,203.862,314.955,368.457,79.2314,170.448,40.0341,338.314,-0.013077565,0.080623396,0.242028139,0.901239717,-0.373791711,1.074859871,0.814508062,0.524729626,0.045707835,1.093801647,1.071719692,0.902689401,1.022235816,0.857342749,0.926412524,-1.303293569,-0.578915458,-0.681311672,-0.653768664,-1.530540651,-0.149655372,0.052619561,0.073604621,0.300162945,-0.199213409,-2.121777587,-2.078152271,-1.206985012,-1.517096662,-1.848360343,0.894984841,0.921314844,0.827173387,0.762629543,0.86555173
MSTRG.30548,Medtr0007s0040,A0A072TL23,A0A072TL23_MEDTR,25479485,MTR_0007s0040,48074,scaffold0007,22828,23281,.,-,.,hypothetical protein,cluster1,MSTRG.30548,TSS58800,scaffold0007:16149-21251,Medtr0007s0040,cluster1,3.73852,6.1305,15.713,6.15381,5.23683,4.95258,5.44473,-1.801365958,-0.676080026,-0.861593976,-0.901375095,-0.059950087,0.331831816,0.609958536,-0.085342383,0.363807999,-1.443537579,1.651576694,1.830205759,1.758349077,2.218201606,1.734225253,-1.060311376,0.127215837,0.519572033,0.667563514,-0.325493319,-0.11653694,-0.540135608,-0.807679019,-0.110005978,0.325618529,0.205452409,-1.139132605,-1.570309236,0.575662096,-0.371629999,-1.066635578,0.166459436,-0.231309376,-0.406711529,0.489435074
MSTRG.30560,Medtr0008s0280,A0A072TL12,A0A072TL12_MEDTR,25479516,MTR_0008s0280,48105,scaffold0008,117749,119885,.,-,.,myb transcription factor,cluster3,MSTRG.30560,TSS58817,scaffold0008:117748-119885,Medtr0008s0280,cluster3,1.12288,1.25107,2.88144,1.46935,1.22917,0.345154,3.56843,-1.378175023,-0.408352399,-0.355191381,0.781893146,0.202063956,0.589510614,-1.378175023,-0.360762791,0.210244738,0.368441814,0.636789657,-0.24308422,0.664727083,0.319621742,2.239366429,-0.365504833,0.794519354,0.589096939,0.412353415,-1.378175023,0.389566084,0.772693494,-0.3419097,-0.422541954,-0.981569305,-0.811797357,-0.862832779,-1.378175023,-0.76776999,-0.619915687,2.552331852,-1.230283227,0.398593291,-0.732052281,2.094454388
MSTRG.30561,Medtr0008s0390,A0A072TK55,A0A072TK55_MEDTR,25479519,MTR_0008s0390,48108,scaffold0008,236494,237588,.,-,.,myb-related transcription factor,cluster3,MSTRG.30561,TSS58820,scaffold0008:236493-237588,Medtr0008s0390,cluster3,2.67484,9.74415,5.05605,3.1737,4.25954,1.80929,5.50719,-0.133700793,-0.419479772,-0.593452675,-1.293082838,0.656457326,0.690796115,-0.60626638,2.925788218,-0.347363422,1.193061226,-0.570518956,-0.618850881,0.568477766,-0.195794782,1.810231612,-0.47804666,1.319408122,-0.78473597,-0.710549889,-0.966995284,0.215922388,1.476707384,0.132863244,-0.65958553,-0.878238033,-0.382023982,-1.248655384,-1.124079613,-0.995496714,0.169095343,0.455019516,-0.425939885,1.063716216,1.557726108,-0.802413141
MSTRG.30564,Medtr0008s0470,A0A072TJ06,A0A072TJ06_MEDTR,25479522,MTR_0008s0470,48111,scaffold0008,261364,262450,.,-,.,myb-related transcription factor,cluster3,MSTRG.30564,TSS58823,scaffold0008:261363-262450,Medtr0008s0470,cluster3,1.87224,7.44697,4.09814,2.03774,2.53414,1.09875,4.03068,-0.579382909,-0.142448571,-0.517348175,-0.299728163,0.220358377,0.699149218,-0.743339205,2.797571619,-0.044567845,1.698601135,-0.423399825,0.036782801,0.512111063,-0.332343793,1.943764684,-0.38926956,0.984067992,-0.64744149,-0.40375642,-1.314444127,-0.126957972,1.05292122,0.34957306,-0.477213914,-1.578367638,-0.410001847,-1.313074102,-1.013903367,-1.194280536,-0.033378175,1.028756619,-0.580296118,1.316117977,1.02979226,-1.10462427
MSTRG.30568,Medtr0009s0230,A0A072TIY7,A0A072TIY7_MEDTR,25479532,MTR_0009s0230,48120,scaffold0009,101904,104053,.,-,.,DNA-3-methyladenine glycosylase I,cluster6,MSTRG.30568,TSS58838,scaffold0009:101903-104053,Medtr0009s0230,cluster6,24.356,8.35402,5.75592,9.71286,8.22847,5.83505,6.13973,1.602233315,1.531049942,2.302190028,1.569657682,2.442864424,-0.767419572,-0.681459894,0.075477249,1.305829587,-0.80680663,-0.749604415,-0.786617547,-0.132876097,-1.249078952,-0.320855573,-0.36533167,0.363344501,0.195428665,0.460022909,0.594003124,-0.080639947,0.832605244,-0.275525521,-0.427771779,-0.412491455,-0.780234181,-0.538613917,-1.895809343,0.223287618,-0.509272499,-1.031397793,-1.008085536,-0.241057524,-0.063786493,-0.373257951
