"","Chromosome","Start","End","Score","Strand","Phase","gene_short_name","Note","Cluster"
"420","chr1",3292908,3294869,".","-",".","Medtr1g013700","CBL-interacting kinase","cluster1"
"428","chr1",3349118,3350721,".","+",".","Medtr1g013610","F-box/RNI/FBD-like domain protein","cluster1"
"1262","chr1",9502076,9505086,".","+",".","Medtr1g028300","protein phosphatase 2C-like protein","cluster1"
"2788","chr1",22673464,22674134,".","-",".","Medtr1g053705","hypothetical protein","cluster1"
"3551","chr1",29816886,29819066,".","+",".","Medtr1g069235","photosystem I reaction center subunit IV A","cluster1"
"3630","chr1",30503357,30504897,".","-",".","Medtr1g069825","G1-like protein","cluster1"
"3721","chr1",31300960,31302315,".","+",".","Medtr1g070495","photosystem II reaction center W","cluster1"
"4042","chr1",33671080,33672489,".","-",".","Medtr1g075990","DUF640 family protein","cluster1"
"4427","chr1",36640029,36642434,".","-",".","Medtr1g082420","thylakoid lumen 18.3 kDa protein","cluster1"
"4500","chr1",37135518,37137717,".","+",".","Medtr1g083440","dormancy/auxin associated protein","cluster1"
"4574","chr1",37697306,37699163,".","+",".","Medtr1g084670","galactinol synthase","cluster1"
"4650","chr1",38237478,38240615,".","-",".","Medtr1g085600","hypothetical protein","cluster1"
"4736","chr1",38959375,38960094,".","+",".","Medtr1g087030","calvin cycle protein CP12-1","cluster1"
"6445","chr1",51725485,51725769,".","+",".","Medtr1g114570","hypothetical protein","cluster1"
"6446","chr1",51725849,51726031,".","+",".","Medtr1g114580","hypothetical protein","cluster1"
"6470","chr1",51860317,51863568,".","+",".","Medtr1g115190","aluminum activated malate transporter family protein","cluster1"
"6701","chr2",525142,526002,".","-",".","Medtr2g006290","2Fe-2S ferredoxin superfamily protein","cluster1"
"6715","chr2",654544,661516,".","-",".","Medtr2g006870","potassium outward rectifying channel protein","cluster1"
"7060","chr2",2891380,2892991,".","-",".","Medtr2g011660","myb transcription factor","cluster1"
"8172","chr2",10974809,10976406,".","-",".","Medtr2g029370","photosystem I reaction center subunit III","cluster1"
"8670","chr2",14954058,14954403,".","-",".","Medtr2g437870","hypothetical protein","cluster1"
"8865","chr2",16342920,16343166,".","-",".","Medtr2g037720","hypothetical protein","cluster1"
"8866","chr2",16345332,16348803,".","-",".","Medtr2g037740","PPR containing plant-like protein","cluster1"
"10311","chr2",29670860,29673292,".","-",".","Medtr2g070460","9-cis-epoxycarotenoid dioxygenase","cluster1"
"10488","chr2",31287035,31295376,".","-",".","Medtr2g074840","LRR receptor-like kinase","cluster1"
"10723","chr2",33094342,33097785,".","+",".","Medtr2g079030","MATE subfamily protein","cluster1"
"10779","chr2",33579928,33582833,".","-",".","Medtr2g079710","NADPH-protochlorophyllide oxidoreductase","cluster1"
